Origin,Artist_Name,Artwork_Name,Year
None,Ad Reinhardt,Abstract Painting: Blue,1953
None,Ad Reinhardt,Blue Painting,1953
None,Ad Reinhardt,Number 17,1953
None,Ad Reinhardt,Untitled,1954
None,Ad Reinhardt,Abstract Painting,1957
None,Ad Reinhardt,Abstract Painting,1963
None,Ad Reinhardt,"Untitled (from the Portfolio ""Ten Works X Ten Painters"""""""")""""""",1964
None,Ad Reinhardt,Abstract Painting,1966
None,Ad Reinhardt,Untitled #6,1966
None,Adja Yunkers,Rain on the Mesa - New Mexico,1951
None,Adja Yunkers,The Bird Lover,1952
None,Adja Yunkers,Landscape,1955
None,Adja Yunkers,Composition in Black & Ochre,1957
None,Adja Yunkers,Embroidered Halo,1958
None,Adja Yunkers,Untitled,1961
None,Adja Yunkers,The Turtle,1964
None,Adja Yunkers,Hommage to the First Monk Immolating Himself in Saigon,1966
None,Adja Yunkers,White On Blue II,1969
None,Adja Yunkers,Passages Des Soupias,1973
None,Adja Yunkers,Requiem for a Virgin King,1974
None,Adja Yunkers,Plentitude in Blue,1975
None,Adja Yunkers,Summer Palace,1975
None,Adolf Dietrich,Edge of the Forest near Langenargen,1917
None,Adolf Dietrich,Waldrand,1918
None,Adolf Dietrich,Berlingen Seen from the Untersee,1926
None,Adolf Dietrich,Goldregen im Eugensberg,1928
None,Adolf Dietrich,"Still life with vegetables, mice and rabbits",1928
None,Adolf Dietrich,A Gentleman ,1928
None,Adolf Dietrich,Nachbargarten im Herbst,1931
None,Adolf Dietrich,Spring time at Lake Constance,1932
None,Adolf Dietrich,BILD VOM VATER ,1932
None,Adolf Dietrich,Sechs Meerschweinchen im Stall,1934
None,Adolf Dietrich,ZaunkÃ¶nigpaar (HagschlÃ¼pferli),1937
None,Adolf Dietrich,Anbetung der KÃ¶nige,1939
None,Adolf Dietrich,Sleigh Ride,1939
None,Adolf Dietrich,Blauer Wintertag mit Schienerberg,1940
None,Adolf Dietrich,Graue Winterlandschaft bei Mannenbach,1940
None,Adolf Dietrich,Novembersonne am Untersee,1941
None,Adolf Dietrich,Birds on Riser,1944
None,Adolf Dietrich,BlÃ¼hender Schlangenkaktus vor Seelandschaft,1944
None,Adolf Dietrich,Blue tit on a brach of a larch,1946
None,Adolf Dietrich,Herbst am Untersee,1952
None,Adolf Dietrich,Landschaft mit ZaunkÃ¶nig,1952
None,Adolf Dietrich,SchlÃ¼sselblumen,1953
None,Adolf Dietrich,Marder,1954
None,Adolf Dietrich,Margeritenstrauss mit Kanarienvogel,1954
None,Adolf Dietrich,Balbo lying on the lawn ,1955
None,Adolf Dietrich,Sojabohnen,1956
None,Adolf Fleischmann,Harbour,1928
None,Adolf Fleischmann,Quadrate diagonal,1943
None,Adolf Fleischmann,Untitled,1947
None,Adolf Fleischmann,Spitzwinklige Komposition auf Dunklem Grund,1948
None,Adolf Fleischmann,Untitled,1951
None,Adolf Fleischmann,Untitled,1952
None,Adolf Fleischmann,Composition,1954
None,Adolf Fleischmann,Nr. 39a,1955
None,Adolf Fleischmann,Composition #72,1956
None,Adolf Fleischmann,#99,1958
None,Adolf Fleischmann,#156,1958
None,Adolf Fleischmann,#100,1958
None,Adolf Fleischmann,#180,1959
None,Adolf Fleischmann,#137,1959
None,Adolf Fleischmann,Relief painting #19x,1961
None,Adolf Fleischmann,Untitled,1963
None,Adolf Fleischmann,Untitled,1963
None,Adolph de Meyer,Guitar Player of Seville,1908
None,Adolph de Meyer,Still Life,1908
None,Adolph de Meyer,Guitar Player of Seville,1908
None,Adolph de Meyer,Still Life,1908
None,Adolph de Meyer,A Street in China,1912
