Country,Artist_Name,Artwork_Name,Year
French,Alexandre Istrati,La terre dormante,1963
French,Alexandre Istrati,Le monde violet,1964
French,Alexandre Istrati,Untitled,1964
French,Alexandre Istrati,Composition vert,1965
French,Alexandre Istrati,Composition,1966
French,Alexandre Istrati,Untitled,1969
French,Alexandre Istrati,Composition,1971
French,Alexandre Istrati,Untitled,1971
French,Alexandre Istrati,Composition,1975
French,Alexandre Istrati,Composition,1983
French,Alexandre Istrati,Composition,1988
French,Alexandre Istrati,Composition,1989
French,Alexandre Istrati,Composition bleu rouge,1989
French,Alexandre Istrati,Cannes jaune,1991
French,Alexandre Istrati,Tondo III,1991
French,Alfred Manessier,Les Dieux marins,1935
French,Alfred Manessier,Figure of Piety,1945
French,Alfred Manessier,Salve Regina,1945
French,Alfred Manessier,Untitled,1946
French,Alfred Manessier,David,1948
French,Alfred Manessier,La Mise au tombeau,1949
French,Alfred Manessier,Hiver,1950
French,Alfred Manessier,Twilight,1950
French,Alfred Manessier,"Untitled, ",1952
French,Alfred Manessier,Litanies,1952
French,Alfred Manessier,Recueillement nocturne II,1952
French,Alfred Manessier,Blue-Green Lines on Aqua Background,1953
French,Alfred Manessier,Living Flame,1954
French,Alfred Manessier,Morte eau,1954
French,Alfred Manessier,Abstract Composition,1955
French,Alfred Manessier,Untitled,1957
French,Alfred Manessier,Plate from Les Cantiques Spirituels,1958
French,Alfred Manessier,Plate from Les Cantiques Spirituels,1958
French,Alfred Manessier,Composition,1959
French,Alfred Manessier,Offrande de la terre I,1961
French,Alfred Manessier,Tumulte,1961
French,Alfred Manessier,Early Spring,1966
French,Alfred Manessier,Illustration from 'Elegie pour Martin Luther King',1978
French,Alfred Manessier,L'Apparition a Marie de Magdala,1978
French,Alfred Manessier,Le Crucifiement,1978
French,Alfred Manessier,L'Emprisonnement,1978
French,Alfred Manessier,Les Jardin des oliviers,1978
French,Alfred Manessier,Eaux vives,1979
French,Alfred Manessier,Favellas III,1980
French,Alfred Manessier,Passion,1982
French,Amedee Ozenfant,Still Life,1921
French,Amedee Ozenfant,Accords,1922
French,Amedee Ozenfant,Nacres,1926
French,Amedee Ozenfant,Composition puriste,1926
French,Amedee Ozenfant,Le pichet blanc,1926
French,Amedee Ozenfant,Still Life,1926
French,Amedee Ozenfant,Composition II,1929
French,Amedee Ozenfant,Maternity,1941
French,Amedee Ozenfant,Adam et Eve,1957
French,Amedee Ozenfant,Untitled,1957
French,Amedee Ozenfant,36 Voiles,1963
French,Amedee Ozenfant,Voilier,1963
French,Andre Bauchant,Birds in a Gorge,1916
French,Andre Bauchant,Animals Crossing a Flooded River with a Distant Waterfall,1924
French,Andre Bauchant,Lucretia,1924
French,Andre Bauchant,The Proclamation of American Independence,1926
French,Andre Bauchant,Vase aux Tulipes,1926
French,Andre Bauchant,Blumen in Landschaft,1928
French,Andre Bauchant,Grand bouquet of wild flowers,1928
French,Andre Bauchant,Le bouquet,1928
French,Andre Bauchant,La chute d'eau,1929
French,Andre Bauchant,Paysage montagneux,1929
French,Andre Bauchant,Monaco,1930
French,Andre Bauchant,Quatre amours dans les fleurs,1930
French,Andre Bauchant,Le Bassin,1931
French,Andre Bauchant,Exotic Flowers,1933
French,Andre Bauchant,Bouquet de fleurs,1937
French,Andre Bauchant,Greek Dance in a Landscape,1937
French,Andre Bauchant,Adam and Eve,1938
French,Andre Bauchant,Cleopatra's Barge,1939
French,Andre Bauchant,The Funeral Procession of Alexander the Great,1940
French,Andre Bauchant,Marine,1945
French,Andre Bauchant,Personnages et Fleurs,1947
French,Andre Bauchant,Figures in landscape,1949
French,Andre Bauchant,Cinq personnages dans un paysage de montagne,1953
French,Andre Bauchant,Flowers,1955
French,Andre Cadere,6 Bars,1970
French,Andre Cadere,Untitled (Polychrome Bar),1970
French,Andre Cadere,Cubic Bar of Wood,1971
French,Andre Cadere,Round Wooden Bar,1974
French,Andre Cadere,"Round Wooden Bar in Red, Blue, Orange, Green, Yellow and Violet",1975
French,Andre Cadere,Six Round Wooden Bars,1975
French,Andre Cadere,Untitled Bar (A-I 0203000 = 25 = I x 12 =),1976
French,Andre Cadere,Round Wooden Bar,1977
French,Andre Cadere,Untitled Bar (A 13002040),1977
French,Andre Derain,Poplars ,1900
French,Andre Derain,The Road to Calvary,1901
French,Andre Derain,Ball of soldiers in Suresnes,1903
French,Andre Derain,"Baker's hotel , ",1904
French,Andre Derain,Landscape near Chatou,1904
French,Andre Derain,Landscape near Chatou,1904
French,Andre Derain,Music,1904
French,Andre Derain,Still life on the red table,1904
French,Andre Derain,Still Life on the Table,1904
French,Andre Derain,"Banks of Seine, ",1905
French,Andre Derain,Boats at Collioure,1905
French,Andre Derain,Estaque,1905
French,Andre Derain,Portrait of Matisse,1905
French,Andre Derain,"Self Portrait with a Cap, ",1905
French,Andre Derain,"The Bridge, view on the river",1905
French,Andre Derain,The Port of Collioure,1905
French,Andre Derain,The Port of Collioure,1905
French,Andre Derain,Westminster,1905
French,Andre Derain,Yacht,1905
French,Andre Derain,"Fishing Boats, Collioure ",1905
French,Andre Derain,Bacchus dance,1906
French,Andre Derain,Charing Cross Bridge,1906
French,Andre Derain,"Charing Cross Bridge, ",1906
French,Andre Derain,"Effect of Sun on the Water, London",1906
French,Andre Derain,"Figures from a Carnival, ",1906
French,Andre Derain,Portrait of Lucien Gilbert,1906
French,Andre Derain,The basin of London,1906
French,Andre Derain,The Dance,1906
French,Andre Derain,"The Trees, ",1906
French,Andre Derain,"Untitled, ",1906
French,Andre Derain,London Bridge,1906
French,Andre Derain,Bridge over the Riou ,1906
French,Andre Derain,Charing Cross Bridge ,1906
French,Andre Derain,L'Estaque ,1906
French,Andre Derain,The Seine at Chatou ,1906
French,Andre Derain,Madame Derain in Green,1907
French,Andre Derain,Bathers ,1907
French,Andre Derain,Landscape,1907
French,Andre Derain,Landscape,1907
French,Andre Derain,The Cypresses at Cassis,1907
French,Andre Derain,Bathers ,1907
French,Andre Derain,Landscape ,1907
French,Andre Derain,Landscape near Cassis ,1907
French,Andre Derain,"Bathers, ",1908
French,Andre Derain,"Bathing women, ",1908
French,Andre Derain,Landscape near Martigues,1908
French,Andre Derain,Martigues Landscape,1908
French,Andre Derain,"Forest at Martigues, ",1909
French,Andre Derain,"Chinese Boxers, ",1910
French,Andre Derain,Still life,1910
French,Andre Derain,"The Dancer, ",1910
French,Andre Derain,Vista de Saint Paul de Vence,1910
French,Andre Derain,Head of a Woman ,1910
French,Andre Derain,"The Bagpiper at Camiers, ",1911
French,Andre Derain,The Last Supper of Jesus,1911
French,Andre Derain,"A Village, ",1912
French,Andre Derain,"Portrait of a Woman, ",1912
French,Andre Derain,Still Life,1912
French,Andre Derain,"Still LIfe with Pears and Indian Bowl, ",1912
French,Andre Derain,The Grove,1912
French,Andre Derain,The River,1912
French,Andre Derain,The Still life in front of cross on top of the mountain,1912
French,Andre Derain,Valley of the Lot at Vers ,1912
