Country,Artist_Name,Artwork_Name,Year
Jewish,Avigdor Arikha,Sleeping Nude and Indian Rug,1985
Jewish,Avigdor Arikha,Studio corner with crack in the wall,1985
Jewish,Avigdor Arikha,Tubes of Paint in their Drawer,1985
Jewish,Avigdor Arikha,"Self-Portrait in Blue Shirt, Seated, Drawing",1986
Jewish,Avigdor Arikha,Glass Door with Self-Portrait,1987
Jewish,Avigdor Arikha,Two Studies of Sleeping Dog,1987
Jewish,Avigdor Arikha,Watercolour Boxes,1987
Jewish,Avigdor Arikha,Le Monde Newspaper and Framed Portrait,1988
Jewish,Avigdor Arikha,Paintbrush and Sketchbooks,1988
Jewish,Avigdor Arikha,Self-Portrait with Hand Up,1988
Jewish,Avigdor Arikha,Standing Nude Woman with Crossed Fingers,1988
Jewish,Avigdor Arikha,Anna,1989
Jewish,Avigdor Arikha,Bare Breasts,1989
Jewish,Avigdor Arikha,"Photo of the Artist's Mother, Ball of String and Alarm Clock",1989
Jewish,Avigdor Arikha,Potatoes,1989
Jewish,Avigdor Arikha,Rhubarb,1989
Jewish,Avigdor Arikha,Autumn,1990
Jewish,Avigdor Arikha,Mount Zion,1990
Jewish,Avigdor Arikha,Self Portrait in Profile from the Back,1990
Jewish,Avigdor Arikha,Turned Nude,1990
Jewish,Avigdor Arikha,Anne with a Gladiolus,1991
Jewish,Avigdor Arikha,Begonias and Gardenias,1991
Jewish,Avigdor Arikha,Inca Sculpture of Siamese Brothers,1991
Jewish,Avigdor Arikha,"Mount Zion, The Dormition",1991
Jewish,Avigdor Arikha,Self-Portrait Nude Torso,1991
Jewish,Avigdor Arikha,Thonet Chair and Carpet,1991
Jewish,Avigdor Arikha,Five Peaches,1992
Jewish,Avigdor Arikha,Jerusalem Landscape,1994
Jewish,Avigdor Arikha,Leaves,1994
Jewish,Avigdor Arikha,Anne in the Doorway,1995
Jewish,Avigdor Arikha,Roses,1995
Jewish,Avigdor Arikha,Thyme and Laurel,1996
Jewish,Avigdor Arikha,White Vase,1996
Jewish,Avigdor Arikha,Clouds,1997
Jewish,Avigdor Arikha,Shell and Cones,1997
Jewish,Avigdor Arikha,Trees at Evian,1997
Jewish,Avigdor Arikha,Towels,1998
Jewish,Bela Czobel,Self-Portrait,1903
Jewish,Bela Czobel,Girl by the Window with Flower,1904
Jewish,Bela Czobel,Sitting Peasant,1904
Jewish,Bela Czobel,Girl before a Bed,1905
Jewish,Bela Czobel,Man with Straw Hat,1906
Jewish,Bela Czobel,Painters Outdoor,1906
Jewish,Bela Czobel,Boy Holding a Ball,1916
Jewish,Bela Czobel,The Priest at Bergen,1918
Jewish,Bela Czobel,Vase on a Chair (Italian Jar),1918
Jewish,Bela Czobel,Street in Berlin,1920
Jewish,Bela Czobel,In the Atelier,1922
Jewish,Bela Czobel,Reclining Woman,1922
Jewish,Bela Czobel,Bank of the Seine in Paris,1925
Jewish,Bela Czobel,Nude with Red Turban,1926
Jewish,Bela Czobel,Mask and Mandolin,1928
Jewish,Bela Czobel,Large Still-life with Fruits,1929
Jewish,Bela Czobel,Masks,1929
Jewish,Bela Czobel,Still-life with Fruits,1929
Jewish,Bela Czobel,Coastal View with Barges,1930
Jewish,Bela Czobel,Muse,1930
Jewish,Bela Czobel,Girl with Red Shawl,1934
Jewish,Bela Czobel,Street in Southern France,1935
Jewish,Bela Czobel,Madonna,1937
Jewish,Bela Czobel,View of a Street at Hatvan,1937
Jewish,Bela Czobel,Still-life in Yellow,1960
Jewish,Bela Czobel,Szentendre,1964
Jewish,Bela Czobel,Venus of Szentendre,1968
Jewish,Bela Kadar,Portrait of the Artist's Wife,1907
Jewish,Bela Kadar,Cityscape with Bridge,1910
Jewish,Bela Kadar,Market Square,1910
Jewish,Bela Kadar,Three Nudes,1916
Jewish,Bela Kadar,Ecstasy,1917
Jewish,Bela Kadar,Dissolving Houses,1920
Jewish,Bela Kadar,Still-life with Chessboard and Pipe,1920
Jewish,Bela Kadar,Constructive Town,1925
Jewish,Bela Kadar,Longing,1925
Jewish,Bela Kadar,Selling the Horse,1927
Jewish,Bela Kadar,Blue-yellow Composition,1930
Jewish,Bela Kadar,Mother and Child,1930
Jewish,Bela Kadar,Still-life,1930
Jewish,Bela Kadar,Bending Nude from Behind,1934
Jewish,Bela Kadar,Mother and Child,1936
Jewish,Bela Kadar,Milkmaid with cows,1938
Jewish,Bela Kadar,Portrait of a Woman with Black Hair,1938
Jewish,Bela Kadar,The Great Still-life,1938
Jewish,Bela Kadar,Stll-life with a Red Vase,1939
Jewish,Chaim Soutine,"Young Woman, ",1915
Jewish,Chaim Soutine,"Still Life with Lamp, ",1916
Jewish,Chaim Soutine,"Still Life with Soup Tureen, ",1916
Jewish,Chaim Soutine,"The Cellist (Serevitsch), ",1916
Jewish,Chaim Soutine,"Young Man Wearing a Small Hat, ",1916
Jewish,Chaim Soutine,"Herrings and a Bottle of Chianti, ",1917
Jewish,Chaim Soutine,"Red Houses, ",1917
Jewish,Chaim Soutine,"Self Portrait by Curtain, ",1917
Jewish,Chaim Soutine,"Self Portrait with Beard, ",1917
Jewish,Chaim Soutine,"Suburban Landscape with Red Houses, ",1917
Jewish,Chaim Soutine,"Landscape, ",1918
Jewish,Chaim Soutine,"Landscape, ",1918
Jewish,Chaim Soutine,"Landscape at Cagnes, ",1918
Jewish,Chaim Soutine,"Landscape of the South of France, ",1918
Jewish,Chaim Soutine,"Midday Landscape, ",1918
Jewish,Chaim Soutine,"Self Portrait, ",1918
Jewish,Chaim Soutine,"White House on a Hill, ",1918
Jewish,Chaim Soutine,"Ceret Landscape, ",1919
Jewish,Chaim Soutine,Flowers and Fish,1919
Jewish,Chaim Soutine,"Girl in Red, ",1919
Jewish,Chaim Soutine,Gladioli,1919
Jewish,Chaim Soutine,"Landscape, ",1919
Jewish,Chaim Soutine,"Le Rouquin, c.1917-",1919
Jewish,Chaim Soutine,"Little Girl with Doll, ",1919
Jewish,Chaim Soutine,"Old Woman with Dog, ",1919
Jewish,Chaim Soutine,"Parisian Suburb, ",1919
Jewish,Chaim Soutine,"Portrait of Madame X (also known as Pink Portrait), ",1919
Jewish,Chaim Soutine,"The Mad Woman, ",1919
Jewish,Chaim Soutine,"The Mad Woman, ",1919
Jewish,Chaim Soutine,"The Table, ",1919
Jewish,Chaim Soutine,"Ceret Landscape, c.1919-",1920
Jewish,Chaim Soutine,"Ceret Lanscape, ",1920
Jewish,Chaim Soutine,"Houses at Ceret, ",1920
Jewish,Chaim Soutine,"Portrait of Moise Kisling, c.1919-",1920
Jewish,Chaim Soutine,"Houses with Pointed Roofs, c.1920-",1921
Jewish,Chaim Soutine,"Little Pastry Cook, ",1921
Jewish,Chaim Soutine,"Still Life with Fish, ",1921
Jewish,Chaim Soutine,"View of Ceret, c.1920-",1921
Jewish,Chaim Soutine,"Polish Woman, ",1922
Jewish,Chaim Soutine,"Gorge de Loup-sur-Vence, ",1923
Jewish,Chaim Soutine,"Hanging Hare, ",1923
Jewish,Chaim Soutine,"Landscape at Cagnes (La Gaude), ",1923
Jewish,Chaim Soutine,"Pastry Cook with Red Handkerchief, c.1922-",1923
Jewish,Chaim Soutine,"Road at Cagnes, c.1922-",1923
Jewish,Chaim Soutine,"Carcass of Beef, ",1924
Jewish,Chaim Soutine,Desolation,1924
Jewish,Chaim Soutine,"Hen and Tomatoes, ",1924
Jewish,Chaim Soutine,"Portrait of the Sculptor, Oscar Miestchaninoff, c.1923-",1924
Jewish,Chaim Soutine,"Street of Cagnes-sur-Ner, c.1923-",1924
Jewish,Chaim Soutine,"Woman in Red, c.1923-",1924
Jewish,Chaim Soutine,"Houses of Cagnes, c.1924-",1925
Jewish,Chaim Soutine,"Landscape of Cagnes, c.1924-",1925
Jewish,Chaim Soutine,Portrait of Emile Lejeune,1925
Jewish,Chaim Soutine,"Woman with Arms Folded, ",1929
Jewish,Chaim Soutine,"Chartres Cathedral, ",1934
Jewish,Chaim Soutine,"Old House near Chartres, ",1934
Jewish,Chaim Soutine,"Servant Girl in Blue, ",1934
Jewish,Chaim Soutine,"Little Girl in Blue, c.1934-",1935
Jewish,Chaim Soutine,"Portrait of a Child, ",1937
Jewish,Chaim Soutine,"Woman in Profile (Portrait of Madame Tennent), ",1937
Jewish,Chaim Soutine,"Girl at Fence, ",1939
Jewish,Chaim Soutine,"Two Children on a Road, ",1939
Jewish,Chaim Soutine,"Portrait of a Woman, ",1940
Jewish,Chaim Soutine,"Mother and Child, ",1942
Jewish,Chaim Soutine,"Two Children on a Road, ",1942
Jewish,Charlotte Posenenske,Untitled (After Nature: Tree Trunks),1959
Jewish,Charlotte Posenenske,Untitled (After Nature: Tree),1959
Jewish,Charlotte Posenenske,Bretagne,1960
Jewish,Charlotte Posenenske,Bretagne,1960
Jewish,Charlotte Posenenske,Bretagne,1960
Jewish,Charlotte Posenenske,Untitled (Free Structures),1960
Jewish,Charlotte Posenenske,Untitled,1960
Jewish,Charlotte Posenenske,Untitled,1961
Jewish,Charlotte Posenenske,Untitled,1961
Jewish,Charlotte Posenenske,Untitled,1961
Jewish,Charlotte Posenenske,Striped Picture,1962
Jewish,Charlotte Posenenske,Untitled (After Nature: Landscape),1962
Jewish,Charlotte Posenenske,Untitled (Free Structures),1962
Jewish,Charlotte Posenenske,Untitled,1962
Jewish,Charlotte Posenenske,Untitled,1962
Jewish,Charlotte Posenenske,Untitled,1962
Jewish,Charlotte Posenenske,Untitled,1962
