"state","sa_no","year","total_candidates","deposit_saved"
"Meghalaya",1,"1972",198,198
"Meghalaya",2,"1978",262,262
"Meghalaya",3,"1983",317,316
"Meghalaya",4,"1988",271,268
"Meghalaya",5,"1993",290,286
"Meghalaya",6,"1998",308,308
"Meghalaya",7,"2003",333,333
"Meghalaya",8,"2008",338,338
"Meghalaya",9,"2013",2096,1874
