"state","sa_no","year","women_percentage"
"Meghalaya",1,"1972",0
"Meghalaya",2,"1978",1.67
"Meghalaya",3,"1983",0
"Meghalaya",4,"1988",3.33
"Meghalaya",5,"1993",1.67
"Meghalaya",6,"1998",5
"Meghalaya",7,"2003",3.33
"Meghalaya",8,"2008",1.67
"Meghalaya",9,"2013",14
