"state","sa_no","year","parties_contested","parties_represented"
"Meghalaya",1,"1972",4,3
"Meghalaya",2,"1978",6,4
"Meghalaya",3,"1983",7,5
"Meghalaya",4,"1988",7,6
"Meghalaya",5,"1993",11,7
"Meghalaya",6,"1998",12,7
"Meghalaya",7,"2003",14,8
"Meghalaya",8,"2008",11,7
"Meghalaya",9,"2013",58,6
