"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Meghalaya",1,1972,2,32,"MAWSYNRAM",63.51,33,"ST",8258,324,6,1,"Male","AHL",1731,"KISTO M ROY MARABANIANG",6.18,"MESTONATH KHARCHANDY","IND","M",NA
"Meghalaya",1,1972,2,33,"SHELLA",57.11,57.97,"ST",8452,1282,4,1,"Male","AHL",2798,"STANELY D D NOCHOLS ROY",26.56,"PROS ERLY CHANDRA CHYNE","IND","M",NA
"Meghalaya",1,1972,2,34,"SOHRA",61.42,49.06,"ST",7335,330,3,1,"Male","AHL",2210,"S P SWER",7.33,"A BLINGSTODAR DIENGDOH","IND","M",NA
"Meghalaya",1,1972,2,35,"NONGSHKEN",50.97,51.05,"ST",8109,647,4,1,"Male","AHL",2110,"DARWIN D PUGH",15.65,"LUISA BROSILA LAMIN","IND","M",NA
"Meghalaya",1,1972,2,36,"LYNGKYRDEM",44.83,42.32,"ST",7359,111,3,1,"Male","AHL",1396,"GALYNSTONE LALOO",3.36,"HERINGTON MULLIEM","IND","M",NA
"Meghalaya",1,1972,2,37,"MAHENDRAGANJ",65.14,44.35,"General",6965,578,4,1,"Male","IND",2012,"SHAMSUL HOQUE",12.74,"KHELARAM BARMAN","INC","M",NA
"Meghalaya",1,1972,2,38,"DALU",48.18,67.24,"ST",5720,950,2,1,"Male","AHL",1853,"NIMOSH SANGMA",34.47,"LAMBERTH K. SANGMA","IND","M",NA
"Meghalaya",1,1972,2,39,"DAMBUK AGA",34.71,85.59,"ST",6297,1653,3,1,"Male","AHL",1871,"BROJENDRA SANGMA",75.62,"VITUS SANGMA","IND","M",NA
"Meghalaya",1,1972,2,40,"CHOKPOT",37.27,71.08,"ST",5975,939,2,1,"Male","AHL",1583,"JACKMAN MARAK",42.16,"GREENDASH R, MARAK","IND","M",NA
"Meghalaya",1,1972,2,41,"SIJU",0,NA,"ST",5499,0,1,1,"Male","AHL",0,"WILLIAMSON SANGMA (UNCONTESTED)",NA,NA,NA,NA,NA
"Meghalaya",1,1972,2,42,"RONGRENGGIRI",17.13,78.91,"ST",7196,776,3,1,"Male","AHL",973,"CHORONSING SANGMA",62.94,"METRONA MARAK","IND","M",NA
"Meghalaya",1,1972,2,43,"RONGJENG",31.74,74.06,"ST",4615,705,2,1,"Male","IND",1085,"PLEANDER GARE MOMIN",48.12,"GORNEL MARAK","AHL","M",NA
