"state","sa_no","year","parties_contested","parties_represented"
"Goa_Daman_&_Diu",1,"1967",5,3
"Goa_Daman_&_Diu",2,"1972",9,4
"Goa_Daman_&_Diu",3,"1977",5,4
"Goa_Daman_&_Diu",4,"1980",7,3
"Goa_Daman_&_Diu",5,"1984",7,3
