"state","sa_no","year","total_candidates","deposit_saved"
"Goa_Daman_&_Diu",1,"1967",226,215
"Goa_Daman_&_Diu",2,"1972",138,138
"Goa_Daman_&_Diu",3,"1977",145,144
"Goa_Daman_&_Diu",4,"1980",177,175
"Goa_Daman_&_Diu",5,"1984",242,231
