"state","sa_no","year","women_percentage"
"Punjab",3,"1962",5.19
"Punjab",4,"1967",1.92
"Punjab",5,"1969",0
"Punjab",6,"1972",5.77
"Punjab",7,"1977",2.56
"Punjab",8,"1980",5.13
"Punjab",9,"1985",3.42
"Punjab",10,"1992",5.13
"Punjab",11,"1997",5.98
"Punjab",12,"2002",6.84
"Punjab",13,"2007",6.03
"Punjab",14,"2012",11.97
