"state","sa_no","year","total_candidates","deposit_saved"
"Punjab",3,"1962",756,753
"Punjab",4,"1967",602,601
"Punjab",5,"1969",471,466
"Punjab",6,"1972",468,467
"Punjab",7,"1977",682,643
"Punjab",8,"1980",722,665
"Punjab",9,"1985",857,790
"Punjab",10,"1992",579,572
"Punjab",11,"1997",693,661
"Punjab",12,"2002",923,898
"Punjab",13,"2007",1043,943
"Punjab",14,"2012",1078,1005
