"state","sa_no","year","parties_contested","parties_represented"
"Punjab",3,"1962",13,8
"Punjab",4,"1967",11,9
"Punjab",5,"1969",15,10
"Punjab",6,"1972",14,5
"Punjab",7,"1977",10,6
"Punjab",8,"1980",10,6
"Punjab",9,"1985",8,6
"Punjab",10,"1992",15,10
"Punjab",11,"1997",30,7
"Punjab",12,"2002",33,5
"Punjab",13,"2007",37,4
"Punjab",14,"2012",38,4
