"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Mizoram",2,1978,2,5,"DEMAGIRI",53.01,53.96,"General",6174,893,5,1,"Male","IND",1766,"HARIKRISTO",27.28,"LIANBUKA","IND","M",NA
"Mizoram",2,1978,2,6,"BUARPUI",51.18,79.3,"ST",5059,1661,3,1,"Male","PPC",2053,"K. LALSANGA",64.16,"H. THANGKIMA","IND","M",NA
"Mizoram",2,1978,2,7,"LUNGLEI",63.45,65.39,"ST",9065,2775,4,1,"Male","PPC",3761,"LALHMINGTHANGA",48.24,"C. LALTHIANGHLIMA","IND","M",NA
"Mizoram",2,1978,2,8,"TAWI PUI",67.11,31.79,"ST",6169,627,7,1,"Male","PPC",1316,"H. KIAUTUMA",15.14,"SANGHLIRA COLBERT","IND","M",NA
"Mizoram",2,1978,2,9,"HNAHTHIAL",60.01,58.28,"ST",9581,1358,3,1,"Male","PPC",3351,"R. ROMAWIA",23.62,"THANSIAMA KHIANTLE","IND","M",NA
"Mizoram",2,1978,2,10,"N. VANLAIPHAI",59.04,38.01,"General",5437,164,5,1,"Male","PPC",1220,"J.H. ROTHUAMA",5.11,"NGURCHHINA","IND","M",NA
"Mizoram",2,1978,2,11,"KHAWBUNG",57.31,43.38,"ST",7048,390,5,1,"Male","PPC",1752,"J. KAPTHIANGA",9.66,"J. THANGHUAMA","IND","M",NA
"Mizoram",2,1978,2,12,"CHAMPHAI",71.83,35.09,"ST",7281,69,5,1,"Male","IND",1835,"LALTHANHAWLA",1.32,"SAKHAWLIANA","PPC","M",NA
"Mizoram",2,1978,2,13,"KHAWHAI",64.32,36.28,"ST",6077,90,7,1,"Male","PPC",1418,"VANLALHRUAIA",2.3,"HRANGTHANGA","IND","M",NA
"Mizoram",2,1978,2,14,"SAITUAL",65.33,31.54,"ST",8579,257,6,1,"Male","PPC",1768,"K.M. BAIKSAILOVA",4.59,"LIANNELA","IND","M",NA
"Mizoram",2,1978,2,15,"NGOPA",61.58,50.18,"ST",7601,1145,3,1,"Male","PPC",2349,"B.P. ROSANGA",24.46,"VANLALHRUAIA","IND","M",NA
"Mizoram",2,1978,2,16,"SUANGPUILAWN",81.52,46.07,"ST",6585,352,5,1,"Male","PPC",2473,"F. MALSAWMA",6.56,"H. THANSANGA","IND","M",NA
"Mizoram",2,1978,2,17,"RATU",60.69,38.53,"ST",7519,857,5,1,"Male","PPC",1758,"J. THANKUNGA",18.78,"D. HNUNLIANA","IND","M",NA
"Mizoram",2,1978,2,18,"AAWNTUI",65.88,34.46,"ST",9259,95,5,1,"Male","PPC",2102,"K. CHAWNGLIANA",1.56,"ROBERT LALCHHUANA","IND","M",NA
"Mizoram",2,1978,2,19,"KOLASIT",58.5,42.21,"ST",8726,819,5,1,"Male","PPC",2155,"CHAWNGKUNGA",16.04,"K.L. ROCHAMA","IND","M",NA
"Mizoram",2,1978,2,20,"KAWRTHAH",51.6,19.05,"ST",9503,51,9,1,"Male","PPC",934,"C. VULLUAIA",1.04,"ZALAWMA","IND","M",NA
"Mizoram",2,1978,2,21,"SAIRANG",58.99,40.29,"ST",7561,473,5,1,"Male","PPC",1797,"TIANGCHHUNGA",10.61,"H. HRANGDAWLA","IND","M",NA
"Mizoram",2,1978,2,22,"PHULDUNGSEI",49.82,35.05,"General",6861,307,8,1,"Male","PPC",1198,"P. LALUPA",8.98,"RUALZAPA","IND","M",NA
"Mizoram",2,1978,2,23,"SATEEK",66.79,30.21,"ST",6616,98,6,1,"Male","PPC",1335,"LALTHANZAUVA",2.22,"THANGTINKHUMA","IND","M",NA
"Mizoram",2,1978,2,24,"SERCHHIP",69,41.2,"ST",6416,119,5,1,"Female","PPC",1824,"THANMAWII",2.69,"VAIVENGA","IND","M",NA
"Mizoram",2,1978,2,25,"LUNGPHO",60.69,59.65,"ST",5737,1086,4,1,"Male","PPC",2077,"K. BAIKCHUNGNUNGA",31.19,"F. LALTHLAMUANA","IND","M",NA
"Mizoram",2,1978,2,26,"TLUNGVEL",70.61,42.09,"ST",6175,94,4,1,"Male","IND",1835,"C.L. RUALA",2.16,"LALSAWIA","PPC","M",NA
"Mizoram",2,1978,2,27,"AIZAWL NORTH",71.01,48.55,"ST",9035,807,5,1,"Male","PPC",3115,"THZNGPHUNGA SAILO",12.58,"P.C. BAWITLUNGA","IND","M",NA
"Mizoram",2,1978,2,28,"AIZAWL EAST",64.05,46.34,"ST",8732,957,5,1,"Male","PPC",2592,"THANGRIDEMA",17.11,"LALSANGZUALA","IND","M",NA
"Mizoram",2,1978,2,29,"AIZAWL WEST",62.12,45.07,"ST",8789,1090,4,1,"Male","PPC",2461,"ZAIREMTHANGA",19.96,"C. SILVARA","IND","M",NA
"Mizoram",2,1978,2,30,"AIZAWL SOUTH",64.69,38.95,"ST",9999,446,5,1,"Male","IND",2519,"SAINGHAKA",6.9,"DR. THANTLUANGA","PPC","M",NA
"Mizoram",3,1979,2,1,"TUIPANG",76.67,46.68,"General",6893,743,3,1,"Male","JNP",2467,"HIPHEI",14.06,"THAWLA","IND","M",NA
"Mizoram",3,1979,2,2,"SANGAU",77.45,50.42,"General",5534,203,4,1,"Male","PPC",2161,"H. RAMMAWI",4.74,"K. SANGCHEMA","JNP","M",NA
"Mizoram",3,1979,2,3,"SAIHA",65.95,48.51,"General",8917,140,3,1,"Male","JNP",2853,"S. VADYU",2.38,"R. T. ZACHONO","PPC","M",NA
"Mizoram",3,1979,2,4,"CHAWNGTE",51.88,30.07,"General",8771,442,8,1,"Male","IND",1368,"SNEHA KUMAR",9.71,"MADAN KUMAR","IND","M",NA
