"state","sa_no","year","parties_contested","parties_represented"
"Mizoram",1,"1972",3,2
"Mizoram",2,"1978",2,2
"Mizoram",3,"1979",4,4
"Mizoram",4,"1984",3,3
"Mizoram",5,"1987",3,3
"Mizoram",6,"1989",4,4
"Mizoram",7,"1993",4,3
"Mizoram",8,"1998",11,4
"Mizoram",9,"2003",11,6
"Mizoram",10,"2008",11,5
"Mizoram",11,"2013",10,3
