"state","sa_no","year","total_candidates","deposit_saved"
"Mizoram",1,"1972",155,155
"Mizoram",2,"1978",154,154
"Mizoram",3,"1979",150,149
"Mizoram",4,"1984",134,132
"Mizoram",5,"1987",145,143
"Mizoram",6,"1989",162,162
"Mizoram",7,"1993",121,120
"Mizoram",8,"1998",221,204
"Mizoram",9,"2003",192,188
"Mizoram",10,"2008",206,206
"Mizoram",11,"2013",142,142
