"state","sa_no","year","total_candidates","deposit_saved"
"Tamil_Nadu",1,"1971",748,746
"Tamil_Nadu",2,"1977",1390,1365
"Tamil_Nadu",3,"1980",1029,972
"Tamil_Nadu",4,"1984",1499,1259
"Tamil_Nadu",5,"1989",3046,1969
"Tamil_Nadu",6,"1991",2415,1390
"Tamil_Nadu",7,"1996",4008,1789
"Tamil_Nadu",8,"2001",1860,1730
"Tamil_Nadu",9,"2006",2586,2143
"Tamil_Nadu",10,"2011",2748,2273
"Tamil_Nadu",11,"2016",3728,2422
