"state","sa_no","year","total_candidates","deposit_saved"
"Rajasthan",3,"1962",890,883
"Rajasthan",4,"1967",892,890
"Rajasthan",5,"1972",875,871
"Rajasthan",6,"1977",1151,1127
"Rajasthan",7,"1980",1406,1356
"Rajasthan",8,"1985",1504,1358
"Rajasthan",9,"1990",3086,2041
"Rajasthan",10,"1993",2437,1849
"Rajasthan",11,"1998",1436,1335
"Rajasthan",12,"2003",1541,1511
"Rajasthan",13,"2008",2194,2024
"Rajasthan",14,"2013",2096,1874
