"state","sa_no","year","parties_contested","parties_represented"
"Rajasthan",3,"1962",9,8
"Rajasthan",4,"1967",10,6
"Rajasthan",5,"1972",10,7
"Rajasthan",6,"1977",9,5
"Rajasthan",7,"1980",12,8
"Rajasthan",8,"1985",9,6
"Rajasthan",9,"1990",26,5
"Rajasthan",10,"1993",27,5
"Rajasthan",11,"1998",31,7
"Rajasthan",12,"2003",35,9
"Rajasthan",13,"2008",43,8
"Rajasthan",14,"2013",58,6
