"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Delhi",2,1972,2,33,"CHANDNI CHOWK",71.41,52.12,"General",27017,1404,4,1,"Male","INC",10055,"RAMA SHANKER",7.28,"JANARDHAN GUPTA","BJS","M",NA
"Delhi",2,1972,2,34,"DARYA GANJ",74.63,49.55,"General",21803,112,4,1,"Male","BJS",8063,"DALIT KUMAR TANDAN",0.69,"DU CHOUDHARY","INC","M",NA
"Delhi",2,1972,2,35,"DARIBA",76.29,51.3,"General",24538,754,4,1,"Male","INC",9603,"MEHTAB CHAND JAIN",4.03,"KISHAN LAL","BJS","M",NA
"Delhi",2,1972,2,36,"MATIA MAHAL",78.24,31.2,"General",26606,571,7,1,"Male","NCO",6495,"SIKANDER BAKHT",2.74,"MOHAMMED ZAFAR ALI","IND","M",NA
"Delhi",2,1972,2,37,"CHAWRI BAZAR",75.09,50.63,"General",27948,843,5,1,"Male","BJS",10625,"ANWAR ALI DHEHLVI",4.02,"CHANDER BHAN KHANDELWAL","INC","M",NA
"Delhi",2,1972,2,38,"BALLIMARAN",75.43,34.4,"General",23921,452,6,1,"Male","IND",6207,"MOHD. AHMED",2.5,"SARLA SHARMA","CPI","M",NA
"Delhi",2,1972,2,39,"AJMERI GATE",76.11,37.27,"General",22426,732,5,1,"Male","INC",6361,"MIRZA SIDDIQ ALI",4.29,"SHAGIQUR RAHMANAN","IND","M",NA
"Delhi",2,1972,2,40,"KALAN MASJID",76.97,23.46,"General",22926,229,9,1,"Male","NCO",4140,"RAJESH SHARMA",1.3,"DEVKINANDNA SHARMA","INC","M",NA
"Delhi",2,1972,2,41,"PAHARGANJ",52.95,51.8,"General",42631,811,2,1,"Male","BJS",11692,"MADAN LAL KHURANA",3.59,"AMAR NATH","INC","M",NA
"Delhi",2,1972,2,42,"RAM NAGAR",87.47,55.97,"General",27345,3426,7,1,"Male","INC",13387,"SATYA PRAKASH",14.32,"GOVIND RAM VERMA","BJS","M",NA
"Delhi",2,1972,2,43,"BASTI JULAHAN",69.61,49.36,"SC",28060,996,5,1,"Male","INC",9642,"PRABHU DAYAL",5.1,"PRABHATI LAL","BJS","M",NA
"Delhi",2,1972,2,44,"QASAB PURA",79.26,37.13,"General",27324,730,4,1,"Male","INC",8042,"ROSHAN LAL",3.37,"RAM NARAIN JAIN","BJS","M",NA
