"state","sa_no","year","parties_contested","parties_represented"
"Delhi",2,"1972",9,5
"Delhi",3,"1977",11,2
"Delhi",4,"1983",8,4
"Delhi",5,"1993",51,4
"Delhi",6,"1998",56,4
"Delhi",7,"2003",63,5
"Delhi",8,"2008",69,5
"Delhi",9,"2013",80,6
"Delhi",10,"2015",73,2
