"state","sa_no","year","parties_contested","parties_represented"
"Nagaland",1,"1964",1,1
"Nagaland",2,"1969",3,3
"Nagaland",3,"1974",3,3
"Nagaland",4,"1977",4,4
"Nagaland",5,"1982",3,3
"Nagaland",6,"1987",5,4
"Nagaland",7,"1989",4,2
"Nagaland",8,"1993",5,4
"Nagaland",9,"1998",2,2
"Nagaland",10,"2003",11,7
"Nagaland",11,"2008",11,5
"Nagaland",12,"2013",8,6
