"state","sa_no","year","women_percentage"
"Nagaland",1,"1964",0
"Nagaland",2,"1969",0
"Nagaland",3,"1974",0
"Nagaland",4,"1977",0
"Nagaland",5,"1982",0
"Nagaland",6,"1987",0
"Nagaland",7,"1989",0
"Nagaland",8,"1993",0
"Nagaland",9,"1998",0
"Nagaland",10,"2003",0
"Nagaland",11,"2008",0
"Nagaland",12,"2013",0
