"state","sa_no","year","total_candidates","deposit_saved"
"Nagaland",1,"1964",73,73
"Nagaland",2,"1969",144,144
"Nagaland",3,"1974",219,219
"Nagaland",4,"1977",204,204
"Nagaland",5,"1982",245,245
"Nagaland",6,"1987",214,213
"Nagaland",7,"1989",140,140
"Nagaland",8,"1993",179,174
"Nagaland",9,"1998",75,75
"Nagaland",10,"2003",225,222
"Nagaland",11,"2008",218,216
"Nagaland",12,"2013",187,183
