	Countries	Value	Parent	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015
167	Togo	56790.0	World	1395.458	1473.839	1580.513	1708.632	2115.521	2410.446	2720.838	3252.995	3787.602	4284.497	4864.753	5540.214	6306.014	7170.797
168	Tonga	750.0	World	47.22	55.324	61.6	74.363	84.37	88.347	93.007	93.953	95.165	95.928	97.962	100.96	104.098	106.379
169	Trinidad and Tobago	5130.0	World	645.628	740.036	848.481	912.419	945.996	1011.487	1085.308	1170.935	1221.904	1255.001	1267.98	1296.933	1328.095	1346.697
170	Tunisia	163610.0	World	3098.621	3488.301	3915.22	4437.772	4982.564	5560.778	6308.096	7188.667	8135.302	8982.649	9552.776	10051.352	10631.83	11235.248
171	Turkey	783560.0	World	21238.496	24253.2	27553.28	31000.167	34772.031	39185.637	43905.79	49178.079	53994.605	58522.32	63174.483	67743.052	72137.546	76690.509
172	Turkmenistan	488100.0	World	1211.0	1355.501	1593.501	1890.0	2188.499	2520.002	2861.0	3229.499	3668.0	4188.01	4501.419	4747.839	5041.995	5373.487
173	Turks and Caicos Islands	950.0	World	5.047	5.198	5.724	5.669	5.632	6.546	7.525	9.502	11.55	15.334	18.876	26.45	30.993	34.339
174	Tuvalu	30.0	World	5.166	5.562	6.104	6.819	7.296	7.685	8.051	8.648	9.004	9.227	9.419	9.694	9.827	9.916
175	Uganda	241550.0	World	5158.193	5898.834	6788.211	8014.376	9446.024	10827.097	12549.779	14661.481	17534.839	20740.726	24275.641	28724.869	33987.213	40141.262
176	Ukraine	603550.0	World	37297.652	40019.446	42662.162	45261.976	47086.954	48758.333	49973.757	50944.246	51658.594	51146.967	49057.226	47135.932	46050.22	44646.131
177	United Arab Emirates	83600.0	World	69.59	78.182	89.608	146.341	231.529	532.742	1014.825	1347.218	1806.498	2346.305	3026.352	4148.883	8441.537	9577.128
178	United Kingdom	243610.0	World	50616.012	51184.569	52544.326	54349.873	55645.296	56234.128	56302.877	56516.86	57214.478	57997.197	58951.444	60291.414	62066.35	63843.856
179	Uruguay	176220.0	World	2238.506	2372.603	2538.779	2694.714	2809.981	2830.378	2915.735	3011.918	3109.941	3224.383	3320.841	3325.155	3371.982	3429.997
180	Uzbekistan	447400.0	World	6313.997	7255.501	8558.503	10233.502	11972.994	13980.997	16026.812	18231.176	20555.113	22950.898	24828.562	26044.401	27769.27	29709.932
181	Vanuatu	12190.0	World	47.695	54.924	63.701	74.287	85.388	99.879	115.634	130.028	146.633	168.236	185.058	209.375	236.299	263.888
