	Countries	Value	Parent	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015
39	China	9562911.0	World	543776.08	600995.113	650680.114	711546.584	814377.714	913570.229	984015.677	1062299.217	1165428.967	1237531.429	1280428.583	1318176.835	1359821.465	1401586.609
40	Colombia	1141749.0	World	11999.6	13827.948	16006.395	18559.236	21344.781	23996.249	26934.591	30076.525	33306.941	36573.895	39897.984	43184.026	46444.798	49529.208
41	Comoros	1861.0	World	156.334	174.01	190.475	208.08	232.0	260.863	313.598	363.068	412.79	465.895	528.312	600.733	683.081	770.058
42	Congo	2344860.0	World	807.726	898.832	1013.581	1157.905	1335.09	1553.903	1796.412	2078.914	2383.283	2720.633	3126.204	3542.867	4111.715	4671.142
43	Congo	342000.0	World	807.726	898.832	1013.581	1157.905	1335.09	1553.903	1796.412	2078.914	2383.283	2720.633	3126.204	3542.867	4111.715	4671.142
44	Costa Rica	51100.0	World	966.015	1129.238	1334.044	1583.078	1822.106	2052.076	2348.427	2698.616	3078.551	3478.197	3929.588	4320.13	4669.685	5001.657
45	Croatia	56590.0	World	3850.295	3981.844	4059.048	4130.76	4171.014	4274.636	4400.788	4571.047	4793.521	4690.192	4475.201	4388.857	4338.027	4255.374
46	Cuba	109880.0	World	5919.997	6539.464	7141.13	7951.916	8715.054	9438.366	9835.085	10097.02	10600.841	10932.013	11138.416	11292.078	11281.768	11248.783
47	Cyprus	9250.0	World	494.014	529.971	572.929	580.971	613.619	649.755	685.406	703.693	766.611	855.389	943.287	1032.586	1103.685	1164.695
48	Czech Republic	78870.0	World	8876.26	9312.452	9577.974	9734.088	9827.923	10042.72	10313.309	10330.08	10325.976	10339.223	10250.398	10230.683	10553.701	10777.06
49	Denmark	43090.0	World	4268.27	4439.594	4580.708	4760.262	4930.118	5061.289	5123.435	5113.408	5140.332	5232.582	5338.283	5417.692	5550.959	5661.723
50	Djibouti	23200.0	World	62.001	69.594	83.636	114.963	159.667	224.244	359.247	424.227	589.924	663.999	722.887	776.585	834.036	899.658
51	Dominica	750.0	World	51.101	54.557	60.016	65.038	71.076	72.091	75.313	73.64	70.928	71.367	69.679	70.542	71.167	72.68
52	Dominican Republic	48670.0	World	2380.116	2795.66	3311.788	3899.504	4523.917	5168.72	5825.715	6523.696	7245.127	7977.966	8663.421	9343.362	10016.797	10652.135
53	Ecuador	256370.0	World	3452.498	3933.448	4514.593	5212.76	6024.764	6928.694	7909.432	8962.049	10123.593	11315.8	12533.087	13777.131	15001.072	16225.691
54	El Salvador	21040.0	World	2199.897	2432.629	2772.97	3243.557	3735.62	4232.375	4660.556	5003.828	5344.226	5748.013	5958.794	6072.538	6218.195	6426.002
55	Equatorial Guinea	28050.0	World	225.536	237.676	252.115	269.427	290.905	238.237	220.589	312.772	373.851	441.829	518.179	603.648	696.167	799.372
56	Eritrea	117600.0	World	1141.3	1257.258	1404.81	1584.606	1796.912	2056.693	2414.647	2831.894	3272.563	3407.812	3939.348	4854.066	5741.159	6737.634
57	Estonia	45230.0	World	1100.998	1159.238	1216.831	1290.437	1360.236	1422.07	1474.487	1522.477	1565.32	1433.076	1366.117	1325.112	1298.533	1280.227
58	Ethiopia	1104300.0	World	18128.034	19947.265	22151.218	25013.551	28414.999	32569.908	35241.209	40777.189	48042.755	57023.519	66024.199	76167.24	87095.281	98942.102
59	Faeroe Islands	1396.0	World	31.504	31.818	34.266	36.363	38.587	40.529	43.01	45.84	48.031	44.099	46.491	49.157	49.581	49.496
