Country,Artist_Name,Artwork_Name,Year
Swiss,"Daniel Spoerri","Ethno-syncretic object",1986
Swiss,"Daniel Spoerri",Untitled,1988
Swiss,"Daniel Spoerri","Large work table (Marcel Duchamp remis en place)",1989
Swiss,"Daniel Spoerri","Assemblage mit dem Kopf eines Pferdes",1990
Swiss,"Daniel Spoerri","Henkel Bankett",1990
Swiss,"Daniel Spoerri","Le Chef",1991
Swiss,"Daniel Spoerri","Sevilla-Serie Nr. 27 Assemblage",1992
Swiss,"Daniel Spoerri","Tableau piÃ¨ge after Sevilla",1992
Swiss,"Daniel Spoerri","Lepreux d'Islande II",1993
Swiss,"Daniel Spoerri","Encyclopaedie Diderot et dâ€™Alembert",1994
Swiss,"Dieter Roth","Children's Book",1957
Swiss,"Dieter Roth",Book,1958
Swiss,"Dieter Roth",Idea,1960
Swiss,"Dieter Roth","Daily Mirror",1961
Swiss,"Dieter Roth",Stupidogramm,1962
Swiss,"Dieter Roth",Idea,1964
Swiss,"Dieter Roth",Quick,1965
Swiss,"Dieter Roth","Chateau Vesuv",1967
Swiss,"Dieter Roth","Graphic with Cocoa",1968
Swiss,"Dieter Roth","Small  Island",1968
Swiss,"Dieter Roth","Small Landscape",1968
Swiss,"Dieter Roth",Postcard,1968
Swiss,"Dieter Roth",Motorcyclist,1969
Swiss,"Dieter Roth","My Eye is a Mouth",1969
Swiss,"Dieter Roth","P.O.TH.A.A.VFB (Portrait of the artist as VogelfutterbÃ¼ste)",1969
Swiss,"Dieter Roth","Postcard (Hyde Park)",1969
Swiss,"Dieter Roth","Schokolade-Objekt (Schokoladenpuppe)",1969
Swiss,"Dieter Roth","Self Portrait (D.111)",1969
Swiss,"Dieter Roth","Tall Garden Gnome",1969
Swiss,"Dieter Roth","When G Dug into the Toys he Struck Terrible Shit",1969
Swiss,"Dieter Roth","Berlin 1",1970
Swiss,"Dieter Roth","Berlin 2",1970
Swiss,"Dieter Roth","Calm Life",1970
Swiss,"Dieter Roth",Cologne,1970
Swiss,"Dieter Roth","Curriculum Vitae",1970
Swiss,"Dieter Roth",DÃ¼sseldorf,1970
Swiss,"Dieter Roth",Heidelberg,1970
Swiss,"Dieter Roth","Ins Meer",1970
Swiss,"Dieter Roth","Cheese Race",1970
Swiss,"Dieter Roth","Course of the World",1970
Swiss,"Dieter Roth",Poemetrie,1970
Swiss,"Dieter Roth","Roth Gewuerztruhe",1970
Swiss,"Dieter Roth","Sea Behind Battle of Iceland Glass",1970
Swiss,"Dieter Roth","Small Theatre",1970
Swiss,"Dieter Roth",Snow,1970
Swiss,"Dieter Roth","Torte in der Sonne (Fancy-Cake In the Sun)",1970
Swiss,"Dieter Roth","Untitled (Island)",1970
Swiss,"Dieter Roth","3 Cakes on Swivel Chairs",1971
Swiss,"Dieter Roth","A Feminine Thought I",1971
Swiss,"Dieter Roth","By the Sea",1971
Swiss,"Dieter Roth",Doppelform,1971
Swiss,"Dieter Roth","Double Quartet",1971
Swiss,"Dieter Roth",Entenjagd,1971
Swiss,"Dieter Roth","Hat Ring",1971
Swiss,"Dieter Roth",Hemdenstein,1971
Swiss,"Dieter Roth",Knoblauchtruhe,1971
Swiss,"Dieter Roth","Probelauf (Trial Run)",1971
Swiss,"Dieter Roth",Quartet,1971
Swiss,"Dieter Roth","Self-Portrait as a Flower Pot",1971
Swiss,"Dieter Roth","Seminar (in collaboration with Richard Hamilton)",1971
Swiss,"Dieter Roth","Two Persons",1971
Swiss,"Dieter Roth","View of the Emme",1971
Swiss,"Dieter Roth",Alpa,1972
Swiss,"Dieter Roth",Alpa,1972
Swiss,"Dieter Roth",Alpa,1972
Swiss,"Dieter Roth",Alpa,1972
Swiss,"Dieter Roth","Ars Alpina I",1972
Swiss,"Dieter Roth","Auf Wiedersehn Sharpie (D.244)",1972
Swiss,"Dieter Roth","Big Tardt for Richard",1972
Swiss,"Dieter Roth","Big Theatre",1972
Swiss,"Dieter Roth","By the Sea, from Behind",1972
Swiss,"Dieter Roth","Double Self-Portrait of the Artist",1972
Swiss,"Dieter Roth","Double Somersault",1972
Swiss,"Dieter Roth",Rabbit-Shit-Rabbit,1972
Swiss,"Dieter Roth","Large Trolley",1972
Swiss,"Dieter Roth","Malego by the Sea",1972
Swiss,"Dieter Roth","Aus: Containers",1973
Swiss,"Dieter Roth",Cassette,1973
Swiss,"Dieter Roth","Selbstbildnis als Pariser (Self-Portrait as Parisian)",1973
Swiss,"Dieter Roth","Self-Portrait as Jealous Tiger",1973
