CATASTROPHE,START_YEAR,END_YEAR
Acre War,1900,1903
Revolt Of Lash,1910,1910
Contestado War,1912,1916
World War I,1917,1918
Tenente Revolts,1922,1927
Brazillian Revolution,1930,1930
Constitutionalist Revolution,1932,1932
World War II,1943,1945
Lobster War,1961,1963
Operation Power Pack,1965,1966
Araguaia Guerilla War,1967,1974
Operation Traira,1991,1991
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
