CATASTROPHE,START_YEAR,END_YEAR
Caste War of Yucatan,1847,1901
Mexican Revolution,1910,1920
Border War,1910,1919
Plan of San Diego Raids,1915,1915
Cristero War,1926,1929
Spanish Civil War,1936,1939
World War II,1942,1945
Mexico Guatemala Conflict,1958,1959
Dirty War,1968,1982
Zapatista Uprising,1994,1994
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
