Country,Artist_Name,Artwork_Name,Year
American,Agnes Martin,"On a clear day, #1",1973
American,Agnes Martin,Untitled Number 5,1975
American,Agnes Martin,Untitled #0,1975
American,Agnes Martin,Untitled #13,1975
American,Agnes Martin,Praise,1976
American,Agnes Martin,Untitled,1977
American,Agnes Martin,Untitled,1977
American,Agnes Martin,Untitled,1977
American,Agnes Martin,Untitled,1977
American,Agnes Martin,Untitled,1978
American,Agnes Martin,Untitled,1978
American,Agnes Martin,The Islands,1979
American,Agnes Martin,Untitled #6,1980
American,Agnes Martin,Untitled,1980
American,Agnes Martin,Untitled No. 1,1981
American,Agnes Martin,Untitled #4,1989
American,Agnes Martin,Untitled,1994
American,Agnes Martin,Untitled #15 (Peace),1996
American,Agnes Martin,With My Back to the World,1997
American,Agnes Martin,Untitled,1998
American,Agnes Martin,Happy Holiday,1999
American,Al Held,Untitled,1954
American,Al Held,Untitled,1955
American,Al Held,Taxi Cab II,1959
American,Al Held,Untitled #6,1959
American,Al Held,Untitled (F 60-1),1959
American,Al Held,Untitled (G-60-06),1959
American,Al Held,Untitled,1959
American,Al Held,Untitled,1960
American,Al Held,Untitled,1960
American,Al Held,Composition,1961
American,Al Held,Purple Triangle,1963
American,Al Held,Maltese Cross,1964
American,Al Held,The Big N,1964
American,Al Held,White Square,1965
American,Al Held,Yellow,1965
American,Al Held,Acracropolis,1966
American,Al Held,Thalocropolis,1966
American,Al Held,Mao,1967
American,Al Held,Untitled,1967
American,Al Held,Untitled,1968
American,Al Held,C-B-1,1978
American,Al Held,Trajans Edge II,1982
American,Al Held,Vorcex IV,1984
American,Al Held,Straits of Malacca,1987
American,Al Held,Orion II,1989
American,Al Held,Pachinko,1989
American,Al Held,Indigo,1990
American,Al Held,Morre XXII,1994
American,Al Held,Prime Moments II,1999
American,Albert Bierstadt,Butterfly,1900
American,Albert Bierstadt,Butterfly (second version),1900
American,Albert Bierstadt,The Golden Gate,1900
American,Albert Bloch,Harlequinade,1911
American,Albert Bloch,Head,1911
American,Albert Bloch,Portrait of a Man,1911
American,Albert Bloch,The dancer (Ragtime),1911
American,Albert Bloch,The Three Pierrots No. 2,1911
American,Albert Bloch,Duel,1912
American,Albert Bloch,The four Pierrots,1912
American,Albert Bloch,Summer Night,1913
American,Albert Bloch,The green dress,1913
American,Albert Bloch,Lied I,1914
American,Albert Bloch,Night II,1914
American,Albert Bloch,Three Pierrots and Harlequin,1914
American,Albert Bloch,Figures on Dark Ground,1916
American,Albert Bloch,Night in the Valley,1917
American,Albert Bloch,Night V,1917
American,Albert Bloch,Souvenir,1921
American,Albert Bloch,Pilgrims in the Snow,1925
American,Albert Bloch,Scherzo,1926
American,Albert Bloch,Saint Francis in the Woods,1927
American,Albert Bloch,Blue Waterfall,1932
American,Albert Bloch,The house next door,1934
American,Albert Bloch,Walk to Emmaus,1938
American,Albert Bloch,Winter in the dead wood,1938
American,Albert Bloch,The Garden of Asses II,1939
American,Albert Bloch,Old Graverayd,1940
American,Albert Bloch,Gulls,1941
American,Albert Bloch,March of the clowns,1941
American,Albert Bloch,The blind man,1942
American,Albert Bloch,Masked Portrait (Georg Trakl),1943
American,Albert Bloch,Windy Night Sky,1944
American,Albert Bloch,Jordan,1946
American,Albert Bloch,Gethsemane,1948
American,Albert Bloch,Metamorphosis,1948
American,Albert Bloch,Conversation,1950
American,Albert Bloch,Vision in a Summer Night,1951
American,Albert Bloch,The Blue Bough,1952
American,Albert Bloch,Blue Eclipse,1955
American,Albert Bloch,Impromptu,1959
American,Albert Bloch,Prodigal,1959
American,Albert Pinkham Ryder,In the Stable,1900
American,Albert Pinkham Ryder,The Race Track (Death on a Pale Horse),1900
American,Albert Pinkham Ryder,Pegasus Departing,1901
American,Albert Pinkham Ryder,A Country Girl,1905
American,Albert Pinkham Ryder,Lord Ullin's Daughter,1905
American,Albert Pinkham Ryder,King Cophetua and the Beggar Maid,1906
American,Alex Hay,Chicken Wire,1963
American,Alex Hay,"Egg on Plate with Knife, Fork, and Spoon",1964
American,Alex Hay,Guest Check,1968
American,Alex Hay,Paper Bag,1968
American,Alexander Boghossian,Untitled (Head of a Woman),1961
American,Alexander Boghossian,Untitled (Abstract Composition),1964
American,Alexander Boghossian,Untitled (Abstract Composition),1966
American,Alexander Boghossian,Axum,1967
American,Alexander Boghossian,The End of the Beginning,1973
American,Alexander Boghossian,African Images,1980
American,Alexander Boghossian,Time Cycle III,1981
American,Alexander Boghossian,Jacob's Ladder,1984
American,Alexander Boghossian,Composition II,1997
American,Alexander Calder,Cow ,1926
American,Alexander Calder,Helen Wills,1927
American,Alexander Calder,Elephant,1928
American,Alexander Calder,Romulus and Remus ,1928
American,Alexander Calder,Spring ,1928
American,Alexander Calder,Portrait of a Man ,1929
American,Alexander Calder,Object with Red Ball,1931
American,Alexander Calder,The Circus ,1932
American,Alexander Calder,Steel Fish,1934
American,Alexander Calder,A Universe,1934
American,Alexander Calder,Diana ,1934
American,Alexander Calder,Untitled,1935
American,Alexander Calder,Form against Yellow (Yellow Panel),1936
American,Alexander Calder,Gibraltar,1936
American,Alexander Calder,Devil Fish ,1937
American,Alexander Calder,Lobster Trap and Fish Tail,1939
American,Alexander Calder,Hollow Egg ,1939
American,Alexander Calder,Boomerangs,1941
American,Alexander Calder,Arc of Petals,1941
American,Alexander Calder,Untitled ,1941
American,Alexander Calder,Vertical Constellation with Bomb,1943
American,Alexander Calder,Fish,1944
American,Alexander Calder,The Acrobats ,1944
American,Alexander Calder,The Big I ,1944
American,Alexander Calder,The Circus,1944
American,Alexander Calder,Yellow Tights ,1945
American,Alexander Calder,Silver Bed Head ,1946
American,Alexander Calder,Composition in Black ,1946
American,Alexander Calder,Blue Feather,1948
American,Alexander Calder,Finny Fish,1948
American,Alexander Calder,Snow Flurry,1948
American,Alexander Calder,Only Only Bird ,1951
American,Alexander Calder,Black Sun ,1953
American,Alexander Calder,Red Cascad,1954
American,Alexander Calder,Red Mobile,1956
American,Alexander Calder,The Star,1960
American,Alexander Calder,The Y,1960
American,Alexander Calder,Hooked Rug ,1965
American,Alexander Calder,Two Discs ,1965
American,Alexander Calder,7 Circles Abstract,1966
American,Alexander Calder,Abstraction ,1966
American,Alexander Calder,Grid With Symbols ,1966
American,Alexander Calder,Stainless Stealer ,1966
American,Alexander Calder,Man,1967
American,Alexander Calder,Across the Orange Moons,1967
American,Alexander Calder,The X and Its Tails,1967
American,Alexander Calder,La Grande Vitesse,1969
American,Alexander Calder,Spiral,1970
American,Alexander Calder,Spiral Composition ,1970
American,Alexander Calder,Three Bollards ,1970
American,Alexander Calder,Untitled ,1970
American,Alexander Calder,Maquette for Flamingo ,1972
American,Alexander Calder,Waves ,1973
American,Alexander Calder,Critter with Mobile Top ,1974
American,Alexander Calder,Grey Oval ,1975
American,Alexander Liberman,Two Circles,1950
American,Alexander Liberman,Beat,1952
American,Alexander Liberman,Path IV,1952
American,Alexander Liberman,Time,1952
American,Alexander Liberman,Revolving,1959
American,Alexander Liberman,Omega IX,1961
American,Alexander Liberman,Omicron V,1961
American,Alexander Liberman,Omicron VII,1961
American,Alexander Liberman,Air,1962
American,Alexander Liberman,Socrates,1962
American,Alexander Liberman,Untitled Abstract,1962
American,Alexander Liberman,Gate of Hope,1972
American,Alexander Liberman,Untitled Abstract,1975
American,Alexander Liberman,Erg Series,1977
American,Alexander Liberman,Untitled Abstract,1977
American,Alexander Liberman,Stargazer,1983
American,Alexander Pope,After the Hunt ,1900
American,Alexander Pope,Springer Spaniel with Pheasant ,1900
American,Alexander Pope,The Trumpeter Swan ,1900
American,Alexander Pope,Weapons of War,1900
American,Alexander Pope,At the Kennel Door ,1905
American,Alexander Pope,Sheep in Field ,1905
American,Alexander Pope,Trophies of the Hunt ,1905
American,Alexander Pope,A Pair of Setters ,1913
American,Alfred Jensen,"My Oneness, A Universe of Colours",1957
American,Alfred Jensen,Ascending I,1958
American,Alfred Jensen,Family Portrait,1958
American,Alfred Jensen,Tattoed,1958
American,Alfred Jensen,Interlacing Colors I,1959
