CATASTROPHE,START_YEAR,END_YEAR
Ukrainian War Of Independence,1917,1921
Polish Soviet War,1919,1921
Russian Civil War - Southern Front,1917,1920
Russian Civil War - Eastern Front,1918,1923
Hungarian occupation of Carpathian Ukraine,1939,1939
World War II,1942,1950
Angolan Civil War,1995,2002
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
