CATASTROPHE,START_YEAR,END_YEAR
Second Boer War,1900,1902
World War - I,1914,1918
Russian Civil War,1918,1920
World War - II,1939,1945
Korean War,1950,1953
Persian Gulf War,1990,1991
Bosnian War,1992,1995
Kosovo War,1998,1999
Afghanistan War,2001,2014
Libyan Civil War,2011,2011
Military Intervention in IS of Iraq,2014,2016
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
