CATASTROPHE,START_YEAR,END_YEAR
War of Independence,1948,1949
Operation Elkayam,1955,1955
Operation Volcano,1955,1955
Operation Olive Leaves,1955,1955
Sinai War,1956,1956
April 7 Incident,1967,1967
War Of Attrition,1967,1970
Yom Kippur War,1973,1973
Operation Entebbe,1976,1976
Operation Litani,1978,1978
First Lebanon War,1982,2000
First Infitada,1987,1993
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
