"state","sa_no","year","women_percentage"
"Kerala",3,"1965",2.26
"Kerala",4,"1967",0.75
"Kerala",5,"1970",0
"Kerala",6,"1977",0.71
"Kerala",7,"1980",3.57
"Kerala",8,"1982",2.86
"Kerala",9,"1987",5.71
"Kerala",10,"1991",5.71
"Kerala",11,"1996",9.29
"Kerala",12,"2001",5.71
"Kerala",13,"2006",5
"Kerala",14,"2011",5
"Kerala",15,"2016",5.71
