"state","sa_no","year","parties_contested","parties_represented"
"Kerala",3,"1965",7,7
"Kerala",4,"1967",10,7
"Kerala",5,"1970",16,11
"Kerala",6,"1977",12,10
"Kerala",7,"1980",16,12
"Kerala",8,"1982",14,13
"Kerala",9,"1987",11,10
"Kerala",10,"1991",21,13
"Kerala",11,"1996",27,13
"Kerala",12,"2001",27,15
"Kerala",13,"2006",28,16
"Kerala",14,"2011",31,13
"Kerala",15,"2016",39,14
