"state","sa_no","year","total_candidates","deposit_saved"
"Kerala",3,"1965",558,556
"Kerala",4,"1967",423,423
"Kerala",5,"1970",505,501
"Kerala",6,"1977",569,555
"Kerala",7,"1980",602,569
"Kerala",8,"1982",699,652
"Kerala",9,"1987",1254,922
"Kerala",10,"1991",809,704
"Kerala",11,"1996",1201,927
"Kerala",12,"2001",676,666
"Kerala",13,"2006",931,912
"Kerala",14,"2011",971,942
"Kerala",15,"2016",1203,921
