"state","sa_no","year","total_candidates","deposit_saved"
"Andhra_Pradesh",3,"1962",988,988
"Andhra_Pradesh",4,"1967",1067,1067
"Andhra_Pradesh",5,"1972",1013,1013
"Andhra_Pradesh",6,"1978",1538,1521
"Andhra_Pradesh",7,"1983",1720,1600
"Andhra_Pradesh",8,"1985",1972,1691
"Andhra_Pradesh",9,"1989",1704,1456
"Andhra_Pradesh",10,"1994",3219,2048
"Andhra_Pradesh",11,"1999",2104,1644
"Andhra_Pradesh",12,"2004",1896,1702
"Andhra_Pradesh",13,"2009",3655,3244
"Andhra_Pradesh",14,"2014",3910,2839
