"state","sa_no","year","women_percentage"
"Andhra_Pradesh",3,"1962",3.33
"Andhra_Pradesh",4,"1967",3.83
"Andhra_Pradesh",5,"1972",0
"Andhra_Pradesh",6,"1978",3.4
"Andhra_Pradesh",7,"1983",3.74
"Andhra_Pradesh",8,"1985",3.4
"Andhra_Pradesh",9,"1989",5.78
"Andhra_Pradesh",10,"1994",2.72
"Andhra_Pradesh",11,"1999",9.52
"Andhra_Pradesh",12,"2004",8.84
"Andhra_Pradesh",13,"2009",11.56
"Andhra_Pradesh",14,"2014",9.18
