Date,TotalCheckouts,Average
2012-07-27,17307,62
2012-07-28,24864,64
2012-07-29,9400,66
2012-07-30,30674,62
2012-07-31,24741,65
2012-08-01,22552,65
2012-08-02,22546,64
2012-08-03,13631,66
2012-08-04,20730,75
2012-08-05,8246,78
2012-08-06,29417,72
2012-08-07,24850,65
2012-08-08,25520,66
2012-08-09,22832,66
2012-08-10,15573,66
2012-08-11,23821,70
2012-08-12,9381,71
2012-08-13,30516,72
2012-08-14,24477,70
2012-08-15,23142,74
2012-08-16,23494,78
2012-08-17,15791,76
2012-08-18,27389,66
2012-08-19,10461,66
2012-08-20,32091,69
2012-08-21,26807,65
2012-08-22,25931,65
2012-08-23,26342,62
2012-08-24,17497,60
2012-08-25,29400,64
2012-08-26,18038,62
2012-09-04,30481,63
2012-09-05,21221,65
2012-09-06,20081,69
2012-09-07,14477,72
2012-09-08,27129,68
2012-09-09,12796,62
2012-09-10,31670,58
2012-09-11,25601,58
2012-09-12,23094,60
2012-09-13,2,65
2012-09-14,9210,64
2012-09-15,26543,62
2012-09-16,11338,62
2012-09-17,26777,66
2012-09-18,23657,68
2012-09-19,23305,62
2012-09-20,21137,60
2012-09-21,15037,60
2012-09-22,27888,60
2012-09-23,10853,57
2012-09-24,24941,59
2012-09-25,23692,60
2012-09-26,24468,58
2012-09-28,18247,64
2012-09-29,29340,60
2012-09-30,11587,57
2012-10-01,26244,60
2012-10-02,24256,58
2012-10-03,21554,55
2012-10-04,21938,56
2012-10-05,15659,58
2012-10-06,27812,58
2012-10-07,11213,58
2012-10-08,25819,56
2012-10-09,24865,54
2012-10-10,22622,52
2012-10-11,21365,52
2012-10-12,16950,52
2012-10-13,28829,58
2012-10-14,11145,60
2012-10-15,26001,58
2012-10-16,22660,56
2012-10-17,22082,50
2012-10-18,21289,55
2012-10-19,15319,54
2012-10-20,28234,47
2012-10-21,12416,46
2012-10-22,23703,42
2012-10-23,23679,47
2012-10-24,22819,48
2012-10-25,22021,48
2012-10-26,14470,48
2012-10-27,26630,52
2012-10-28,11369,55
2012-10-29,26221,56
2012-10-30,20506,57
2012-10-31,18367,56
2012-11-01,22944,56
2012-11-02,15818,56
2012-11-03,31394,56
2012-11-04,12673,60
2012-11-05,25724,52
2012-11-06,21468,50
2012-11-07,21996,48
2012-11-08,22366,43
2012-11-09,15774,40
2012-11-10,29102,38
2012-11-12,21829,49
2012-11-13,26653,49
2012-11-14,25068,48
2012-11-15,23477,42
2012-11-16,15290,40
2012-11-17,32543,48
2012-11-18,12721,47
2012-11-19,25853,52
2012-11-20,29089,47
2012-11-21,31257,44
2012-11-23,14378,47
2012-11-24,26492,44
2012-11-25,12697,42
2012-11-26,28486,42
2012-11-27,23790,41
2012-11-28,21559,42
2012-11-29,23049,50
2012-11-30,15511,52
2012-12-01,30386,52
2012-12-02,12407,46
2012-12-03,26424,47
2012-12-04,23561,50
2012-12-05,22696,45
2012-12-06,21459,44
2012-12-07,14175,42
2012-12-08,26571,40
2012-12-09,10273,41
2012-12-10,25326,44
2012-12-11,22482,44
2012-12-12,20587,43
2012-12-13,20627,42
2012-12-14,13072,40
2012-12-15,25825,36
2012-12-16,10078,47
2012-12-17,26446,42
2012-12-18,22353,36
2012-12-19,19671,40
2012-12-20,23502,38
2012-12-21,15955,38
2012-12-22,27326,44
2012-12-23,11730,42
2012-12-26,26854,42
2012-12-27,23318,44
2012-12-28,15996,44
2012-12-29,25460,41
2012-12-30,10587,38
2012-12-31,23514,36
2013-01-02,30070,37
2013-01-03,25915,36
2013-01-04,18758,45
2013-01-05,32046,44
2013-01-06,17000,42
2013-01-07,27205,46
2013-01-08,23147,48
2013-01-09,24782,44
2013-01-10,24782,34
2013-01-11,18658,32
2013-01-12,32090,32
2013-01-13,18258,30
2013-01-14,26724,34
2013-01-15,23392,40
2013-01-16,24491,36
2013-01-17,23695,32
2013-01-18,17041,36
2013-01-19,30304,35
2013-01-20,19193,37
2013-01-21,3,34
2013-01-22,29588,34
2013-01-23,23987,41
2013-01-24,24272,42
2013-01-25,17828,48
2013-01-26,32440,44
2013-01-27,19995,42
2013-01-28,25345,42
2013-01-29,22819,46
2013-01-30,23123,48
2013-01-31,23528,49
2013-02-01,19347,48
2013-02-02,30544,42
2013-02-03,16016,44
2013-02-04,26125,48
2013-02-05,23249,48
2013-02-06,23790,48
2013-02-07,22645,46
2013-02-08,16110,42
2013-02-09,30539,44
2013-02-10,18431,42
2013-02-11,25321,44
2013-02-12,22554,49
2013-02-13,22377,48
2013-02-14,23373,48
2013-02-15,18182,48
2013-02-16,29549,46
2013-02-17,18491,44
2013-02-19,30244,45
2013-02-20,24300,41
2013-02-21,24205,44
2013-02-22,17222,44
2013-02-23,30174,45
2013-02-24,18684,45
2013-02-25,26590,46
2013-02-26,22933,44
2013-02-27,22146,46
2013-02-28,23248,49
2013-03-01,18132,56
2013-03-02,30620,50
2013-03-03,18813,42
2013-03-04,25747,45
2013-03-05,23513,46
2013-03-06,22677,44
2013-03-07,23840,48
2013-03-08,16588,45
2013-03-09,27531,44
2013-03-10,18443,44
2013-03-11,25017,48
2013-03-12,23885,54
2013-03-13,23080,53
2013-03-14,23606,52
2013-03-15,17228,54
2013-03-16,28601,46
2013-03-17,17036,44
2013-03-18,25699,48
2013-03-19,22956,46
2013-03-20,23826,47
2013-03-21,23319,42
2013-03-22,17023,42
2013-03-23,27549,42
2013-03-24,17554,44
2013-03-25,24729,49
2013-03-26,21792,54
2013-03-27,22295,52
2013-03-28,22034,54
2013-03-29,14901,55
2013-03-30,23837,56
2013-03-31,9178,56
2013-04-01,26951,55
2013-04-02,24994,54
2013-04-03,22262,55
2013-04-04,21674,56
2013-04-05,18015,54
2013-04-06,28328,50
2013-04-07,18781,44
2013-04-08,25334,50
2013-04-09,23229,49
2013-04-10,23452,54
2013-04-11,24062,50
2013-04-12,17673,44
2013-04-13,28691,45
2013-04-14,16667,46
2013-04-15,25877,48
2013-04-16,22730,47
2013-04-17,22028,49
2013-04-18,22768,49
2013-04-19,16767,52
2013-04-20,27222,52
2013-04-21,17784,50
2013-04-22,24849,51
2013-04-23,21715,50
2013-04-24,19472,54
2013-04-25,20973,60
2013-04-26,15531,58
2013-04-27,27999,55
2013-04-28,17108,54
2013-04-29,25993,50
2013-04-30,22073,48
2013-05-01,21131,51
2013-05-02,20851,57
2013-05-03,14248,61
2013-05-04,22051,66
2013-05-05,13303,70
2013-05-06,23644,70
2013-05-07,21340,62
2013-05-08,21880,60
2013-05-09,21585,62
2013-05-10,13411,66
2013-05-11,22777,68
2013-05-12,14965,66
2013-05-13,26404,59
2013-05-14,22193,55
2013-05-15,22833,56
2013-05-16,21295,62
2013-05-17,15850,60
2013-05-18,26025,58
2013-05-19,15918,60
2013-05-20,25170,60
2013-05-21,22644,54
2013-05-22,23365,50
2013-05-23,24751,52
2013-05-24,18134,56
2013-05-25,24880,58
2013-05-26,16185,58
2013-05-28,30247,58
2013-05-29,23900,57
2013-05-30,23202,56
2013-05-31,15582,60
2013-06-01,25973,64
2013-06-02,15419,62
2013-06-03,25316,63
2013-06-04,20854,66
2013-06-05,21547,68
2013-06-06,21433,68
2013-06-07,16948,62
2013-06-08,27011,62
2013-06-09,16924,62
2013-06-10,25406,62
2013-06-11,23716,60
2013-06-12,22755,62
2013-06-13,22635,62
2013-06-14,16794,60
2013-06-15,25433,64
2013-06-16,14616,66
2013-06-17,31053,68
2013-06-18,26192,65
2013-06-19,28304,60
2013-06-20,27914,60
2013-06-21,18270,62
2013-06-22,21456,66
2013-06-23,18254,67
2013-06-24,32049,64
2013-06-25,24701,66
2013-06-26,26739,66
2013-06-27,26331,68
2013-06-28,16411,74
2013-06-29,23901,76
2013-06-30,13237,78
2013-07-01,27055,80
2013-07-02,25948,72
2013-07-03,28550,70
2013-07-05,19210,67
2013-07-06,24225,68
2013-07-07,17688,68
2013-07-08,29642,68
2013-07-09,24602,72
2013-07-10,24897,66
2013-07-11,25201,64
2013-07-12,16697,62
2013-07-13,23587,65
2013-07-14,15511,70
2013-07-15,29387,70
2013-07-16,24464,75
2013-07-17,26494,68
2013-07-18,24876,69
2013-07-19,16828,70
2013-07-20,24350,67
2013-07-21,15391,67
2013-07-22,29202,68
2013-07-23,23771,70
2013-07-24,23023,72
2013-07-25,23573,72
2013-07-26,16336,74
2013-07-27,24001,68
2013-07-28,16336,62
2013-07-29,27659,67
2013-07-30,24010,68
2013-07-31,24925,64
2013-08-01,24804,63
2013-08-02,16540,62
2013-08-03,24411,68
2013-08-04,14966,70
2013-08-05,26760,73
2013-08-06,22809,74
2013-08-07,22496,74
2013-08-08,23481,71
2013-08-09,16480,72
2013-08-10,23604,68
2013-08-11,15358,68
2013-08-12,28063,70
2013-08-13,23562,71
2013-08-14,24380,72
2013-08-15,26924,69
2013-08-16,16785,74
2013-08-17,23832,71
2013-08-18,15236,70
2013-08-19,28117,72
2013-08-20,23555,68
2013-08-21,23585,69
2013-08-22,22751,72
2013-08-23,16233,68
2013-08-24,24591,69
2013-08-25,15535,67
2013-08-26,28609,70
2013-08-27,24383,72
2013-08-28,24310,71
2013-08-29,24563,72
2013-08-30,17032,71
2013-08-31,23186,69
2013-09-01,14621,72
2013-09-03,33459,70
2013-09-04,23636,67
2013-09-05,23217,65
2013-09-06,16916,68
2013-09-07,28465,68
2013-09-08,16100,70
2013-09-09,25758,68
2013-09-10,22335,68
2013-09-11,21308,76
2013-09-12,22696,70
2013-09-13,16455,64
2013-09-14,26435,66
2013-09-15,17029,64
2013-09-16,26595,66
2013-09-17,23130,62
2013-09-18,22455,64
2013-09-19,22220,66
2013-09-20,15624,64
2013-09-21,26891,64
2013-09-22,15725,60
2013-09-23,25701,59
2013-09-24,22020,58
2013-09-25,23213,56
2013-09-26,21285,54
2013-09-27,15973,56
2013-09-28,24970,59
2013-09-29,17899,56
2013-09-30,25402,55
2013-10-01,23844,54
2013-10-02,2,53
2013-10-03,27094,52
2013-10-04,16772,53
2013-10-05,25568,56
2013-10-06,16383,58
2013-10-07,27735,58
2013-10-08,22278,52
2013-10-09,21278,49
2013-10-10,22205,53
2013-10-11,18725,54
2013-10-12,27216,52
2013-10-13,15568,52
2013-10-14,25175,50
2013-10-15,22363,52
2013-10-16,22843,50
2013-10-17,21755,52
2013-10-18,15602,50
2013-10-19,26024,48
2013-10-20,16392,50
2013-10-21,25973,50
2013-10-22,21607,51
2013-10-23,20360,52
2013-10-24,20793,48
2013-10-25,15505,49
2013-10-26,26472,49
2013-10-27,16542,52
2013-10-28,25091,52
2013-10-29,21141,46
2013-10-30,20937,48
2013-10-31,17887,53
2013-11-01,16612,58
2013-11-02,27996,52
2013-11-03,17286,46
2013-11-04,25930,44
2013-11-05,22839,50
2013-11-06,22509,50
2013-11-07,22114,52
2013-11-08,15409,50
2013-11-09,31474,46
2013-11-10,20323,50
2013-11-12,29783,54
2013-11-13,23155,54
2013-11-14,22357,48
2013-11-15,13689,48
2013-11-16,30083,44
2013-11-17,18789,49
2013-11-18,24750,51
2013-11-19,23123,49
2013-11-20,22228,42
2013-11-21,22318,40
2013-11-22,15225,40
2013-11-23,31776,40
2013-11-24,18567,40
2013-11-25,27333,44
2013-11-26,25618,44
2013-11-27,27879,47
2013-11-29,12750,44
2013-11-30,26057,49
2013-12-01,17585,52
2013-12-02,23707,42
2013-12-03,21785,36
2013-12-04,20848,32
2013-12-05,20653,30
2013-12-06,15517,31
2013-12-07,27687,25
2013-12-08,15567,26
2013-12-09,25571,28
2013-12-10,21552,37
2013-12-11,20986,35
2013-12-12,19244,38
2013-12-13,15120,46
2013-12-14,25117,47
2013-12-15,15434,50
2013-12-16,24150,46
2013-12-17,20296,44
2013-12-18,21559,42
2013-12-19,20871,36
2013-12-20,13058,39
2013-12-21,23733,45
2013-12-22,12896,49
2013-12-23,27128,50
2013-12-26,24107,39
2013-12-27,15511,40
2013-12-28,23218,42
2013-12-29,12435,42
2013-12-30,26410,42
2013-12-31,21419,44
2014-01-01,2,44
2014-01-02,29438,48
2014-01-03,19147,44
2014-01-04,29807,40
2014-01-05,17612,38
2014-01-06,26835,37
2014-01-07,21732,44
2014-01-08,21632,48
2014-01-09,23992,46
2014-01-10,17690,49
2014-01-11,25003,52
2014-01-12,21069,48
2014-01-13,27519,52
2014-01-14,21787,50
2014-01-15,22756,48
2014-01-16,23334,44
2014-01-17,17016,42
2014-01-18,30174,40
2014-01-19,15803,40
2014-01-20,2,42
2014-01-21,31158,41
2014-01-22,23816,48
2014-01-23,22995,46
2014-01-24,15539,42
2014-01-25,28249,44
2014-01-26,18498,40
2014-01-27,25912,40
2014-01-28,21872,48
2014-01-29,21589,50
2014-01-30,23436,46
2014-01-31,17404,44
2014-02-01,27965,42
2014-02-02,11575,40
2014-02-03,24000,38
2014-02-04,22451,32
2014-02-05,19041,26
2014-02-06,21537,26
2014-02-07,16325,31
2014-02-08,28456,38
2014-02-09,12884,36
2014-02-10,24332,44
2014-02-11,20973,49
2014-02-12,22660,50
2014-02-13,20534,50
2014-02-14,15670,48
2014-02-15,28169,44
2014-02-16,18742,44
2014-02-18,30452,46
2014-02-19,23983,44
2014-02-20,23889,47
2014-02-21,16422,42
2014-02-22,28621,40
2014-02-23,18184,42
2014-02-24,25186,42
2014-02-25,22652,46
2014-02-26,22431,49
2014-02-27,22026,50
2014-02-28,15768,50
2014-03-01,28453,44
2014-03-02,17600,44
2014-03-03,26419,52
2014-03-04,23521,50
2014-03-05,22660,55
2014-03-06,22607,54
2014-03-07,15943,54
2014-03-08,26956,50
2014-03-09,17277,55
2014-03-10,25537,50
2014-03-11,22163,50
2014-03-12,20572,49
2014-03-13,21294,50
2014-03-14,15898,54
2014-03-15,26827,53
2014-03-16,16538,49
2014-03-17,25354,46
2014-03-18,22424,46
2014-03-19,22973,48
2014-03-20,21930,44
2014-03-21,15200,46
2014-03-22,24610,44
2014-03-23,12249,50
2014-03-24,19393,56
2014-03-25,14009,54
2014-03-26,6746,48
2014-03-27,10254,50
2014-03-28,16091,50
2014-03-29,27641,50
2014-03-30,17560,50
2014-03-31,24596,48
2014-04-01,20945,52
2014-04-02,21190,52
2014-04-03,21477,51
2014-04-04,15596,51
2014-04-05,26792,52
2014-04-06,16411,55
2014-04-07,22541,62
2014-04-08,20219,56
2014-04-09,22508,51
2014-04-10,22382,52
2014-04-11,15445,54
2014-04-12,24278,54
2014-04-13,13377,58
2014-04-14,24292,56
2014-04-15,21638,54
2014-04-16,22694,52
2014-04-17,21739,52
2014-04-18,15566,52
2014-04-19,23836,50
2014-04-20,9118,52
2014-04-21,25650,56
2014-04-22,22292,50
2014-04-23,22814,50
2014-04-24,22489,54
2014-04-25,14773,52
2014-04-26,24138,52
2014-04-27,17347,50
2014-04-28,24458,52
2014-04-29,19533,64
2014-04-30,18184,68
2014-05-01,18291,71
2014-05-02,14837,63
2014-05-03,25593,56
2014-05-04,16982,56
2014-05-05,26049,56
2014-05-06,21705,57
2014-05-07,19585,56
2014-05-08,20851,54
2014-05-09,16085,52
2014-05-10,24588,54
2014-05-11,12625,57
2014-05-12,23375,65
2014-05-13,19051,70
2014-05-14,19294,70
2014-05-15,19532,72
2014-05-16,14087,62
2014-05-17,23028,62
2014-05-18,15603,60
2014-05-19,25147,62
2014-05-20,20917,64
2014-05-21,21104,62
2014-05-22,21160,66
2014-05-23,16934,64
2014-05-24,23675,60
2014-05-25,16391,58
2014-05-27,28365,61
2014-05-28,22307,60
2014-05-29,22067,60
2014-05-30,14349,60
2014-05-31,23798,63
2014-06-01,15282,64
2014-06-02,24235,65
2014-06-03,22838,60
2014-06-04,22493,60
2014-06-05,20307,64
2014-06-06,14332,65
2014-06-07,22798,66
2014-06-08,14248,66
2014-06-09,24955,62
2014-06-10,22074,60
2014-06-11,20892,65
2014-06-12,21051,64
2014-06-13,15738,59
2014-06-14,24087,60
2014-06-15,14764,58
2014-06-16,26054,58
2014-06-17,22958,58
2014-06-18,22098,62
2014-06-19,21834,66
2014-06-20,18092,62
2014-06-21,20602,62
2014-06-22,13581,66
2014-06-23,28983,70
2014-06-24,24442,68
2014-06-25,23911,70
2014-06-26,23500,68
2014-06-27,16946,66
2014-06-28,24654,65
2014-06-29,14081,64
2014-06-30,26339,66
2014-07-01,20297,76
2014-07-02,25328,73
2014-07-03,27399,66
2014-07-05,22987,68
2014-07-06,13542,74
2014-07-07,27639,74
2014-07-08,21413,74
2014-07-09,22523,72
2014-07-10,23152,70
2014-07-11,15512,74
2014-07-12,22033,77
2014-07-13,14299,74
2014-07-14,29801,74
2014-07-15,23141,74
2014-07-16,22726,75
2014-07-17,24606,70
2014-07-18,15392,66
2014-07-19,23712,71
2014-07-20,16467,63
2014-07-21,27605,68
2014-07-22,24318,66
2014-07-23,23038,63
2014-07-24,24737,63
2014-07-25,16398,65
2014-07-26,22478,70
2014-07-27,13968,72
2014-07-28,26281,74
2014-07-29,21351,74
2014-07-30,21425,74
2014-07-31,21593,75
2014-08-01,15735,73
2014-08-02,21737,73
2014-08-03,13907,74
2014-08-04,26223,77
2014-08-05,22880,70
2014-08-06,22095,72
2014-08-07,21709,70
2014-08-08,15705,70
2014-08-09,21875,72
2014-08-10,13360,72
2014-08-11,24678,80
2014-08-12,25042,75
2014-08-13,24102,68
2014-08-14,23011,67
2014-08-15,15945,70
2014-08-16,21854,71
2014-08-17,14090,71
2014-08-18,25851,74
2014-08-19,22242,74
2014-08-20,23464,66
2014-08-21,23003,64
2014-08-22,15417,68
2014-08-23,21408,72
2014-08-24,14022,68
2014-08-25,24450,71
2014-08-26,21873,76
2014-08-27,21312,76
2014-08-28,22108,68
2014-08-29,16014,66
2014-08-30,23834,65
2014-08-31,15149,66
2014-09-02,31444,64
2014-09-03,22719,64
2014-09-04,19796,64
2014-09-05,14031,72
2014-09-06,23891,74
2014-09-07,16231,72
2014-09-08,26891,66
2014-09-09,22134,66
2014-09-10,21659,64
2014-09-11,21154,66
2014-09-12,14500,65
2014-09-13,22948,68
2014-09-14,13698,67
2014-09-15,23238,70
2014-09-16,21434,68
2014-09-17,21352,68
2014-09-18,21196,66
2014-09-19,14063,70
2014-09-20,24224,66
2014-09-21,13236,70
2014-09-22,25152,68
2014-09-23,21377,65
2014-09-24,19473,65
2014-09-25,20812,66
2014-09-26,16157,64
2014-09-27,24480,63
2014-09-28,15723,62
2014-09-29,23559,58
2014-09-30,21923,62
2014-10-01,18897,62
2014-10-02,16603,61
2014-10-03,16197,61
2014-10-04,25199,64
2014-10-05,15346,64
2014-10-06,22464,68
2014-10-07,21047,62
2014-10-08,19043,62
2014-10-09,17984,60
2014-10-10,17498,58
2014-10-11,26104,60
2014-10-12,14637,60
2014-10-13,23987,62
2014-10-14,22023,59
2014-10-15,21840,58
2014-10-16,20817,61
2014-10-17,14509,60
2014-10-18,25696,64
2014-10-19,14062,64
2014-10-20,23645,60
2014-10-21,19964,58
2014-10-22,19229,58
2014-10-23,20983,55
2014-10-24,14584,56
2014-10-25,24784,58
2014-10-26,16285,52
2014-10-27,24073,54
2014-10-28,21043,56
2014-10-29,20744,59
2014-10-30,18366,58
2014-10-31,11925,54
2014-11-01,27408,52
2014-11-02,15880,51
2014-11-03,24705,58
2014-11-04,21677,58
2014-11-05,20770,57
2014-11-06,20279,60
2014-11-07,15671,52
2014-11-08,24446,48
2014-11-09,15601,52
2014-11-10,26699,48
2014-11-11,1,42
2014-11-12,26276,39
2014-11-13,21201,40
2014-11-14,16080,38
2014-11-15,25971,38
2014-11-16,17005,39
2014-11-17,24248,41
2014-11-18,20511,39
2014-11-19,22741,44
2014-11-20,20830,49
2014-11-21,13892,52
2014-11-22,28172,48
2014-11-23,15271,50
2014-11-24,25482,47
2014-11-25,23074,56
2014-11-26,27712,59
2014-12-14,12785,47
2014-12-15,22398,48
2014-12-16,19434,48
2014-12-17,19880,48
2014-12-18,18037,48
2014-12-19,15336,50
2014-12-20,24205,52
2014-12-21,14157,55
2014-12-22,23418,48
2014-12-23,22954,48
2014-12-26,17298,42
2014-12-27,22943,47
2014-12-28,11486,44
2014-12-29,24402,42
2014-12-30,21813,34
2014-12-31,19285,34
2015-01-02,21827,38
2015-01-03,27646,38
2015-01-04,16913,48
2015-01-05,24025,56
2015-01-06,21120,50
2015-01-07,21563,47
2015-01-08,21410,44
2015-01-09,15578,44
2015-01-10,27007,46
2015-01-11,18283,48
2015-01-12,25473,49
2015-01-13,21308,44
2015-01-14,21147,42
2015-01-15,20202,41
2015-01-16,15104,50
2015-01-17,26724,46
2015-01-18,11991,54
2015-01-20,28483,46
2015-01-21,20937,40
2015-01-22,19839,48
