"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Sikkim",1979,9,"DARAMDIN","GEN","PURNA BAHADUR SUBBA","IND",226,4,8.72
"Sikkim",1979,9,"DARAMDIN","GEN","DIRGA BAHADUR SUBBA","SPC",31,5,1.2
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","BHIM BAHADUR GURUNG","SCR",754,1,24.1
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","LILA KUMAR RAI","SJP",693,2,22.15
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","HASTDAS RAI","SPC",599,3,19.14
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","NEEL KAMAL THAPA","IND",406,4,12.98
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","S.K. RAI","JNP",369,5,11.79
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","HUMANAY RAI","IND",210,6,6.71
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","HASTUDAS RAI","IND",67,7,2.14
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN","KALURAM AGRAWAL","IND",31,8,0.99
"Sikkim",1979,11,"RALONG","ST","CHAMLA TSHERING","SCR",438,1,26.34
"Sikkim",1979,11,"RALONG","ST","SONAM PINTSO TAKAPA","IND",371,2,22.31
"Sikkim",1979,11,"RALONG","ST","TASHI WANGDI BHUTIA","SJP",336,3,20.2
"Sikkim",1979,11,"RALONG","ST","KARMA BHUTIA","JNP",304,4,18.28
"Sikkim",1979,11,"RALONG","ST","NORBU TSHERING BHUTIA","SPC",142,5,8.54
"Sikkim",1979,11,"RALONG","ST","PASSANG TSHERING BHUTIA","IND",39,6,2.35
"Sikkim",1979,11,"RALONG","ST","UGEN TASHI BHUTIA","INC",25,7,1.5
"Sikkim",1979,11,"RALONG","ST","SUK TESHRING SHERPA","IND",8,8,0.48
"Sikkim",1979,12,"WAK","GEN","GARJAMAN GURUNG","SPC",504,1,34.38
"Sikkim",1979,12,"WAK","GEN","NORDEN BHUTIA","IND",9,10,0.61
"Sikkim",1979,12,"WAK","GEN","DURGA PRASAD RAJALIM","SJP",408,2,27.83
"Sikkim",1979,12,"WAK","GEN","PANDU RAM RAI","JNP",175,3,11.94
"Sikkim",1979,12,"WAK","GEN","PASSANG SHERPU","SCR",147,4,10.03
