"state","sa_no","year","total_candidates","deposit_saved"
"Sikkim",1,"1979",244,243
"Sikkim",2,"1985",195,186
"Sikkim",3,"1989",118,117
"Sikkim",4,"1994",186,181
"Sikkim",5,"1999",105,105
"Sikkim",6,"2004",87,87
"Sikkim",7,"2009",167,167
"Sikkim",8,"2014",121,121
