"state","sa_no","year","total_candidates","deposit_saved"
"Jammu_&_Kashmir",1,"1962",174,174
"Jammu_&_Kashmir",2,"1967",206,206
"Jammu_&_Kashmir",3,"1972",342,337
"Jammu_&_Kashmir",4,"1977",409,407
"Jammu_&_Kashmir",5,"1983",513,487
"Jammu_&_Kashmir",6,"1987",527,480
"Jammu_&_Kashmir",7,"1996",547,541
"Jammu_&_Kashmir",8,"2002",708,704
"Jammu_&_Kashmir",9,"2008",1354,1314
"Jammu_&_Kashmir",10,"2014",831,814
