"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Jharkhand",2005,4,"LITIPARA","ST","CHARAN MURMU","SHS",1254,9,1.36
"Jharkhand",2005,5,"PAKAUR","GEN","ALAMGIR ALAM","INC",71736,1,48.1
"Jharkhand",2005,5,"PAKAUR","GEN","ABU TAHIR","IND",877,10,0.59
"Jharkhand",2005,5,"PAKAUR","GEN","YAKUB MURMU","JKPP",813,11,0.55
"Jharkhand",2005,5,"PAKAUR","GEN","AZIMUDIN MOMIN","IND",641,12,0.43
"Jharkhand",2005,5,"PAKAUR","GEN","BENI PRASAD GUPTA","BJP",46000,2,30.84
"Jharkhand",2005,5,"PAKAUR","GEN","MOHAMMAD IQBAL","CPM",14773,3,9.91
"Jharkhand",2005,5,"PAKAUR","GEN","SHAHNAZ BEGUM","SP",7030,4,4.71
"Jharkhand",2005,5,"PAKAUR","GEN","SHYAM CHAND MANDAL","IND",2459,5,1.65
"Jharkhand",2005,5,"PAKAUR","GEN","HARI GOPAL DAS","BSP",1599,6,1.07
"Jharkhand",2005,5,"PAKAUR","GEN","BETKA MARANDI","JDP",1291,7,0.87
"Jharkhand",2005,5,"PAKAUR","GEN","SHAMBHU NANDAN KUMAR","LJP",1018,8,0.68
"Jharkhand",2005,5,"PAKAUR","GEN","ANAND TURI","IND",908,9,0.61
"Jharkhand",2005,6,"MAHESHPUR","ST","SUPHAL MARANDI","JMM",45520,1,41.98
"Jharkhand",2005,6,"MAHESHPUR","ST","DEBIDHAN BESRA","BJP",32704,2,30.16
"Jharkhand",2005,6,"MAHESHPUR","ST","MISTRY SOREN","AJSU",13812,3,12.74
"Jharkhand",2005,6,"MAHESHPUR","ST","GOPIN SOREN","CPM",8525,4,7.86
"Jharkhand",2005,6,"MAHESHPUR","ST","ISMAIL SOREN","JDP",2686,5,2.48
"Jharkhand",2005,6,"MAHESHPUR","ST","SHREECHAND TUDU","BSP",2139,6,1.97
"Jharkhand",2005,6,"MAHESHPUR","ST","JUNESH MURMU","IND",1851,7,1.71
"Jharkhand",2005,6,"MAHESHPUR","ST","STEPHAN TUDU","JKPP",1207,8,1.11
"Jharkhand",2005,7,"SIKARIPARA","ST","NALIN SOREN","JMM",27723,1,29.66
"Jharkhand",2005,7,"SIKARIPARA","ST","NOBEL KISHORE MARANDI","IND",1059,10,1.13
"Jharkhand",2005,7,"SIKARIPARA","ST","STEFAN BESRA","SP",898,11,0.96
"Jharkhand",2005,7,"SIKARIPARA","ST","NIPURANI MURMU","IND",882,12,0.94
"Jharkhand",2005,7,"SIKARIPARA","ST","JAMES MURMU","IND",809,13,0.87
"Jharkhand",2005,7,"SIKARIPARA","ST","MANOJ KUMAR MARANDI","UGDP",793,14,0.85
"Jharkhand",2005,7,"SIKARIPARA","ST","RAJA MARANDI","JD(U)",24641,2,26.36
"Jharkhand",2005,7,"SIKARIPARA","ST","DAVID MURMU","AJSU",18522,3,19.82
"Jharkhand",2005,7,"SIKARIPARA","ST","SUNIL KUMAR MARANDI","CPI(ML)(L)",7800,4,8.34
"Jharkhand",2005,7,"SIKARIPARA","ST","ALBINIUS MURMU","IND",3283,5,3.51
"Jharkhand",2005,7,"SIKARIPARA","ST","RAMJIBAN DEHRI","IND",2526,6,2.7
"Jharkhand",2005,7,"SIKARIPARA","ST","BABU LAL KISKU","BSP",1955,7,2.09
"Jharkhand",2005,7,"SIKARIPARA","ST","SATYA SHIKHANAND MURMU","RJD",1485,8,1.59
"Jharkhand",2005,7,"SIKARIPARA","ST","BASANT KUMAR TUDU","SAP",1095,9,1.17
"Jharkhand",2005,8,"NALA","GEN","RABINDRA NATH MAHATO","JMM",30847,1,30
"Jharkhand",2005,8,"NALA","GEN","RAMESH CHANDRA VERMA","SP",1182,10,1.15
"Jharkhand",2005,8,"NALA","GEN","JUNU SINGH MURMU","IND",1141,11,1.11
"Jharkhand",2005,8,"NALA","GEN","KAMDEO MOHALI","IND",974,12,0.95
"Jharkhand",2005,8,"NALA","GEN","KAILASH MAHATO","IND",874,13,0.85
"Jharkhand",2005,8,"NALA","GEN","UPENDRA NATH HEMBRAM","IND",684,14,0.67
"Jharkhand",2005,8,"NALA","GEN","JAGANNATH MANDAL","JVC",676,15,0.66
"Jharkhand",2005,8,"NALA","GEN","SUBODH SINGH","SAP",554,16,0.54
"Jharkhand",2005,8,"NALA","GEN","SATYANAND JHA","BJP",29725,2,28.91
"Jharkhand",2005,8,"NALA","GEN","BISHESWAR KHAN","CPI",24493,3,23.82
"Jharkhand",2005,8,"NALA","GEN","SUNIL KUMAR ROY","IND",2916,4,2.84
"Jharkhand",2005,8,"NALA","GEN","PRAVEEN PRABHAKAR","IND",2866,5,2.79
"Jharkhand",2005,8,"NALA","GEN","ANJANA GHOSH","BSP",1656,6,1.61
"Jharkhand",2005,8,"NALA","GEN","DIGUMBER PD. SAH","JVD",1597,7,1.55
"Jharkhand",2005,8,"NALA","GEN","ABINASH MAHATO","AITC",1364,8,1.33
"Jharkhand",2005,8,"NALA","GEN","BABUDHAN HEMBROM","CPI(ML)(L)",1278,9,1.24
"Jharkhand",2005,9,"JAMTARA","GEN","BISHNU PRASAD BHAIYA","BJP",49387,1,NA
"Jharkhand",2005,9,"JAMTARA","GEN","KAMAL MARANDI","IND",1209,10,NA
"Jharkhand",2005,9,"JAMTARA","GEN","PRANAB KUMAR MANDAL","IND",1093,11,NA
"Jharkhand",2005,9,"JAMTARA","GEN","ABU TALIB ANSARI","UGDP",1031,12,NA
"Jharkhand",2005,9,"JAMTARA","GEN","ALTA DEVI","LJP",1026,13,NA
"Jharkhand",2005,9,"JAMTARA","GEN","NAND LAL SOREN","IND",900,14,NA
"Jharkhand",2005,9,"JAMTARA","GEN","SHEU SHANKAR LAL MURMU","JVC",761,15,NA
"Jharkhand",2005,9,"JAMTARA","GEN","SHABBIR AHMAD","SP",651,16,NA
"Jharkhand",2005,9,"JAMTARA","GEN","DINESH YADAV","SAP",337,17,NA
"Jharkhand",2005,9,"JAMTARA","GEN","DULAL ROY","IND",NA,18,NA
"Jharkhand",2005,9,"JAMTARA","GEN","IRFAN ANSARI","INC",45895,2,NA
"Jharkhand",2005,9,"JAMTARA","GEN","BIRENDRA MANDAL","IND",5049,3,NA
"Jharkhand",2005,9,"JAMTARA","GEN","SIRAJ ANSARI","BSP",4706,4,NA
