"state","sa_no","year","women_percentage"
"Gujarat",1,"1962",7.14
"Gujarat",2,"1967",4.76
"Gujarat",3,"1972",0.6
"Gujarat",4,"1975",1.66
"Gujarat",5,"1980",2.75
"Gujarat",6,"1985",8.79
"Gujarat",7,"1990",2.2
"Gujarat",8,"1995",1.1
"Gujarat",9,"1998",2.2
"Gujarat",10,"2002",6.59
"Gujarat",11,"2007",8.79
"Gujarat",12,"2012",8.79
