"state","sa_no","year","total_candidates","deposit_saved"
"Gujarat",1,"1962",519,519
"Gujarat",2,"1967",613,613
"Gujarat",3,"1972",822,818
"Gujarat",4,"1975",848,841
"Gujarat",5,"1980",974,965
"Gujarat",6,"1985",1137,1094
"Gujarat",7,"1990",1889,1519
"Gujarat",8,"1995",2545,2156
"Gujarat",9,"1998",1125,1047
"Gujarat",10,"2002",1000,962
"Gujarat",11,"2007",1268,1230
"Gujarat",12,"2012",1666,1575
