"state","sa_no","year","women_percentage"
"Bihar",3,"1962",7.86
"Bihar",4,"1967",1.89
"Bihar",5,"1969",1.26
"Bihar",6,"1972",0
"Bihar",7,"1977",4.01
"Bihar",8,"1980",3.4
"Bihar",9,"1985",4.63
"Bihar",10,"1990",3.09
"Bihar",11,"1995",3.4
"Bihar",12,"2000",5.86
"Bihar",13,"2005",1.23
"Bihar",14,"2005",10.29
"Bihar",15,"2010",13.99
"Bihar",16,"2015",11.67
