"state","sa_no","year","total_candidates","deposit_saved"
"Bihar",3,"1962",1529,1529
"Bihar",4,"1967",2025,2025
"Bihar",5,"1969",2154,2148
"Bihar",6,"1972",1983,1973
"Bihar",7,"1977",2994,2858
"Bihar",8,"1980",3002,2789
"Bihar",9,"1985",4237,3491
"Bihar",10,"1990",6613,4333
"Bihar",11,"1995",8313,6047
"Bihar",12,"2000",3941,3462
"Bihar",13,"2005",5285,5252
"Bihar",14,"2005",2133,2132
"Bihar",15,"2010",3523,3521
"Bihar",16,"2015",3411,3361
