"state","sa_no","year","parties_contested","parties_represented"
"Bihar",3,"1962",10,8
"Bihar",4,"1967",10,10
"Bihar",5,"1969",22,14
"Bihar",6,"1972",23,12
"Bihar",7,"1977",15,8
"Bihar",8,"1980",20,11
"Bihar",9,"1985",14,10
"Bihar",10,"1990",46,12
"Bihar",11,"1995",58,18
"Bihar",12,"2000",52,14
"Bihar",13,"2005",66,12
"Bihar",14,"2005",59,13
"Bihar",15,"2010",91,8
"Bihar",16,"2015",160,9
