"state","sa_no","year","parties_contested","parties_represented"
"Haryana",1,"1967",9,5
"Haryana",2,"1968",12,7
"Haryana",3,"1972",14,6
"Haryana",4,"1977",9,4
"Haryana",5,"1982",8,5
"Haryana",6,"1987",10,6
"Haryana",7,"1991",25,7
"Haryana",8,"1996",26,6
"Haryana",9,"2000",29,8
"Haryana",10,"2005",28,6
"Haryana",11,"2009",50,7
"Haryana",12,"2014",45,7
