"state","sa_no","year","total_candidates","deposit_saved"
"Haryana",1,"1967",471,468
"Haryana",2,"1968",398,397
"Haryana",3,"1972",384,384
"Haryana",4,"1977",671,645
"Haryana",5,"1982",1095,965
"Haryana",6,"1987",1322,935
"Haryana",7,"1991",1849,1054
"Haryana",8,"1996",2527,1263
"Haryana",9,"2000",965,772
"Haryana",10,"2005",983,869
"Haryana",11,"2009",1222,1062
"Haryana",12,"2014",1349,1002
