"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Haryana",1967,16,"JUNDLA","SC","R. KISHAN","INC",10843,1,34.69
"Haryana",1967,16,"JUNDLA","SC","B. RAM","RPI",10696,2,34.22
"Haryana",1967,16,"JUNDLA","SC","P. SINGH","IND",4510,3,14.43
"Haryana",1967,16,"JUNDLA","SC","J. RAM","IND",2844,4,9.1
"Haryana",1967,16,"JUNDLA","SC","MUNSHI","IND",1151,5,3.68
"Haryana",1967,16,"JUNDLA","SC","P. RAM","IND",955,6,3.06
"Haryana",1967,16,"JUNDLA","SC","S. RAM","IND",256,7,0.82
"Haryana",1967,17,"GHARAUNDA","GEN","M. CHAND","INC",13906,1,34.27
"Haryana",1967,17,"GHARAUNDA","GEN","R. SINGH","BJS",12736,2,31.39
"Haryana",1967,17,"GHARAUNDA","GEN","R. RAM","IND",10053,3,24.78
"Haryana",1967,17,"GHARAUNDA","GEN","S. SINGH","CPM",3879,4,9.56
"Haryana",1967,18,"SAMBHALKA","GEN","RANDHIR","BJS",12215,1,30.73
"Haryana",1967,18,"SAMBHALKA","GEN","K. SINGH","INC",12101,2,30.45
"Haryana",1967,18,"SAMBHALKA","GEN","S. SUNDER","IND",9327,3,23.47
"Haryana",1967,18,"SAMBHALKA","GEN","D. RAM","RPI",5108,4,12.85
"Haryana",1967,18,"SAMBHALKA","GEN","T. CHAND","IND",995,5,2.5
"Haryana",1967,19,"PANIPAT","GEN","F. CHAND","BJS",20459,1,49.71
"Haryana",1967,19,"PANIPAT","GEN","H. RAI","INC",18134,2,44.06
"Haryana",1967,19,"PANIPAT","GEN","R. SINGH","CPI",1864,3,4.53
"Haryana",1967,19,"PANIPAT","GEN","P. LAL","IND",702,4,1.71
"Haryana",1967,20,"NAULTHA","GEN","M. SINGH","INC",12943,1,36.34
"Haryana",1967,20,"NAULTHA","GEN","D. SINGH","IND",9504,2,26.68
"Haryana",1967,20,"NAULTHA","GEN","S. SINGH","IND",3461,3,9.72
"Haryana",1967,20,"NAULTHA","GEN","M. SINGH","IND",2915,4,8.18
"Haryana",1967,20,"NAULTHA","GEN","B. DASS","IND",2272,5,6.38
"Haryana",1967,20,"NAULTHA","GEN","N. SINGH","IND",1932,6,5.42
"Haryana",1967,20,"NAULTHA","GEN","B. RAM","RPI",1391,7,3.91
"Haryana",1967,20,"NAULTHA","GEN","D. CHAND","IND",898,8,2.52
"Haryana",1967,20,"NAULTHA","GEN","R. SHARMA","IND",303,9,0.85
"Haryana",1967,21,"RAJAUND","SC","R. SINGH","INC",16992,1,41.81
"Haryana",1967,21,"RAJAUND","SC","B. SINGH","SWA",10932,2,26.9
"Haryana",1967,21,"RAJAUND","SC","B. LAL","IND",7832,3,19.27
"Haryana",1967,21,"RAJAUND","SC","M. SINGH","CPI",2338,4,5.75
"Haryana",1967,21,"RAJAUND","SC","M. LAL","IND",1444,5,3.55
"Haryana",1967,21,"RAJAUND","SC","SURTA","IND",793,6,1.95
"Haryana",1967,21,"RAJAUND","SC","SADHU","IND",312,7,0.77
"Haryana",1967,22,"PUNDRI","GEN","R. P. SINGH","INC",20143,1,49.04
"Haryana",1967,22,"PUNDRI","GEN","I. SINGH","IND",13670,2,33.28
"Haryana",1967,22,"PUNDRI","GEN","C. BHUJ","IND",5322,3,12.96
"Haryana",1967,22,"PUNDRI","GEN","K. RAM","IND",1939,4,4.72
"Haryana",1967,23,"SHERHADA","GEN","P. A. J. SINGH","IND",12080,1,29.86
