"state","sa_no","year","parties_contested","parties_represented"
"Odisha",4,"1967",9,8
"Odisha",5,"1971",15,10
"Odisha",6,"1974",15,9
"Odisha",7,"1977",8,5
"Odisha",8,"1980",13,6
"Odisha",9,"1985",12,5
"Odisha",10,"1990",23,6
"Odisha",11,"1995",25,7
"Odisha",12,"2000",27,9
"Odisha",13,"2004",30,8
"Odisha",14,"2009",35,8
"Odisha",15,"2014",44,6
