"state","sa_no","year","total_candidates","deposit_saved"
"Odisha",4,"1967",603,603
"Odisha",5,"1971",835,835
"Odisha",6,"1974",722,722
"Odisha",7,"1977",604,604
"Odisha",8,"1980",736,735
"Odisha",9,"1985",800,797
"Odisha",10,"1990",913,858
"Odisha",11,"1995",1413,1250
"Odisha",12,"2000",868,831
"Odisha",13,"2004",802,802
"Odisha",14,"2009",1203,1138
"Odisha",15,"2014",1420,1363
