"state","sa_no","year","women_percentage"
"Odisha",4,"1967",3.57
"Odisha",5,"1971",0
"Odisha",6,"1974",2.74
"Odisha",7,"1977",4.76
"Odisha",8,"1980",3.4
"Odisha",9,"1985",5.44
"Odisha",10,"1990",4.76
"Odisha",11,"1995",5.44
"Odisha",12,"2000",8.84
"Odisha",13,"2004",7.48
"Odisha",14,"2009",6.09
"Odisha",15,"2014",7.48
