"state","sa_no","year","parties_contested","parties_represented"
"Karnataka",1,"1978",11,6
"Karnataka",2,"1983",12,7
"Karnataka",3,"1985",8,6
"Karnataka",4,"1989",21,8
"Karnataka",5,"1994",23,12
"Karnataka",6,"1999",23,6
"Karnataka",7,"2004",33,9
"Karnataka",8,"2008",32,4
"Karnataka",9,"2013",60,9
