"state","sa_no","year","women_percentage"
"Karnataka",1,"1978",3.57
"Karnataka",2,"1983",0.45
"Karnataka",3,"1985",3.57
"Karnataka",4,"1989",4.46
"Karnataka",5,"1994",3.12
"Karnataka",6,"1999",2.68
"Karnataka",7,"2004",2.68
"Karnataka",8,"2008",1.34
"Karnataka",9,"2013",2.68
