"state","sa_no","year","total_candidates","deposit_saved"
"Karnataka",1,"1978",1165,1144
"Karnataka",2,"1983",1365,1304
"Karnataka",3,"1985",1795,1332
"Karnataka",4,"1989",2043,1740
"Karnataka",5,"1994",2497,1920
"Karnataka",6,"1999",1341,1306
"Karnataka",7,"2004",1715,1686
"Karnataka",8,"2008",2242,2114
"Karnataka",9,"2013",2948,2650
