"state","sa_no","year","women_percentage"
"Tripura",1,"1967",0
"Tripura",2,"1972",0
"Tripura",3,"1977",1.67
"Tripura",4,"1983",6.67
"Tripura",5,"1988",3.33
"Tripura",6,"1993",1.67
"Tripura",7,"1998",3.33
"Tripura",8,"2003",3.33
"Tripura",9,"2008",5
"Tripura",10,"2013",8.33
