"state","sa_no","year","parties_contested","parties_represented"
"Tripura",1,"1967",6,3
"Tripura",2,"1972",7,4
"Tripura",3,"1977",10,5
"Tripura",4,"1983",10,5
"Tripura",5,"1988",9,4
"Tripura",6,"1993",11,7
"Tripura",7,"1998",12,6
"Tripura",8,"2003",14,5
"Tripura",9,"2008",15,5
"Tripura",10,"2013",15,3
