"state","sa_no","year","total_candidates","deposit_saved"
"Tripura",1,"1967",87,87
"Tripura",2,"1972",234,234
"Tripura",3,"1977",328,327
"Tripura",4,"1983",206,205
"Tripura",5,"1988",220,219
"Tripura",6,"1993",407,342
"Tripura",7,"1998",270,242
"Tripura",8,"2003",254,252
"Tripura",9,"2008",313,312
"Tripura",10,"2013",249,249
