"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
1999,"Andaman",1,"GEN","Andaman",0,"GEN",1,"Uma Bharathi","NCP",1015,"Andaman_&_Nicobar_Islands"
1999,"Andaman",1,"GEN","Andaman",0,"GEN",2,"Bishnu Pada Ray","BJP",76882,"Andaman_&_Nicobar_Islands"
1999,"Andaman",1,"GEN","Andaman",0,"GEN",3,"Manoranjan Bhakta","INC",62942,"Andaman_&_Nicobar_Islands"
1999,"Andaman",1,"GEN","Andaman",0,"GEN",4,"Agapil Kujur","IND",4804,"Andaman_&_Nicobar_Islands"
1999,"Andaman",1,"GEN","Andaman",0,"GEN",5,"Kali Muthu Dhevar K","IND",136,"Andaman_&_Nicobar_Islands"
1999,"Srikakulam",1,"GEN","Ichapuram",1,"GEN",2,"Kanithi Viswanadaham","INC",36363,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Ichapuram",1,"GEN",1,"Yerrannaidu Kinjarapu","TDP",48897,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Ichapuram",1,"GEN",3,"Appala Naidu Golive","AJBP",1624,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Sompeta",2,"GEN",1,"Yerrannaidu Kinjarapu","TDP",55618,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Sompeta",2,"GEN",2,"Kanithi Viswanadaham","INC",35977,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Sompeta",2,"GEN",3,"Appala Naidu Golive","AJBP",834,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Tekkali",3,"GEN",3,"Appala Naidu Golive","AJBP",1535,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Tekkali",3,"GEN",1,"Yerrannaidu Kinjarapu","TDP",48912,"Andhara_Pradesh"
1999,"Srikakulam",1,"GEN","Tekkali",3,"GEN",2,"Kanithi Viswanadaham","INC",43684,"Andhara_Pradesh"
