"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
2004,"SRIKAKULAM",1,"GEN","Amadalavalasa",15,"GEN",5,"TAMMINENI JAGANMOHAN RA","IND",507,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Amadalavalasa",15,"GEN",1,"YERRANNAIDU KINJARAPU","TDP",42229,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Amadalavalasa",15,"GEN",4,"MYLAPALLI LAKSHMUDU","BSP",1259,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Amadalavalasa",15,"GEN",3,"DUNGA RANGARAO NAIDU","IND",761,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Amadalavalasa",15,"GEN",2,"KILLI KRUPARANI","INC",43842,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Srikakulam",16,"GEN",4,"MYLAPALLI LAKSHMUDU","BSP",3332,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Srikakulam",16,"GEN",5,"TAMMINENI JAGANMOHAN RA","IND",862,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Srikakulam",16,"GEN",1,"YERRANNAIDU KINJARAPU","TDP",62616,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Srikakulam",16,"GEN",2,"KILLI KRUPARANI","INC",62622,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Srikakulam",16,"GEN",3,"DUNGA RANGARAO NAIDU","IND",1317,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Patapatnam",6,"GEN",1,"KISHORE CHANDRA SURYANA","INC",41064,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Patapatnam",6,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",43034,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Patapatnam",6,"GEN",4,"ARIKA GUMPASWAMY","IND",1266,"Andhara_Pradesh"
