"State_Name","PC_No","AC_No","PC_Name","PC_Type","AC_Name","AC_Type"
"Andhara_Pradesh",2,2,"Peddapalle","SC","Chennur","SC"
"Andhara_Pradesh",2,2,"Peddapalle","SC","Chennur","SC"
"Andhara_Pradesh",2,2,"Peddapalle","SC","Chennur","SC"
"Andhara_Pradesh",2,2,"Peddapalle","SC","Chennur","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,3,"Peddapalle","SC","Bellampalli","SC"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
