"state","sa_no","year","total_candidates","deposit_saved"
"Manipur",1,"1967",156,156
"Manipur",2,"1972",262,262
"Manipur",3,"1974",265,264
"Manipur",4,"1980",401,396
"Manipur",5,"1984",364,359
"Manipur",6,"1990",254,246
"Manipur",7,"1995",347,319
"Manipur",8,"2000",401,364
"Manipur",9,"2002",368,348
"Manipur",10,"2007",308,299
"Manipur",11,"2012",279,276
