"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Manipur",2,1972,2,5,"WANGKHEI",70.16,35.26,"General",10154,12,5,1,"Male","INC",2512,"SERAM ANGOUBA SINGH",0.17,"LAISHRAM ACHEWSINGH","SOP","M",NA
"Manipur",2,1972,2,6,"KHERGAO",82.03,29.52,"General",10575,558,6,1,"Male","INC",2561,"WANGKHEM IBOHAL",6.43,"ABDUL WAHID","MRP","M",NA
"Manipur",2,1972,2,7,"THUNGJU",79.45,46.81,"General",10828,1987,4,1,"Male","MRP",4027,"OINAM TOMBA SINGH",23.1,"KSHETRIMAYUM MUHORI SINGH","INC","M",NA
"Manipur",2,1972,2,8,"KEIRAO",82.12,51.95,"General",9291,1515,3,1,"Male","MRP",3964,"M. D. JALALUDDIN",19.86,"PHANIJOUBAM MUHOL SINGH","INC","M",NA
"Manipur",2,1972,2,9,"LAMLAI",73.4,26.57,"General",11954,419,6,1,"Male","CPI",2331,"PHEIROIJAM PARIJAT",4.78,"TELAM NITAI","INC","M",NA
"Manipur",2,1972,2,10,"TOMCHINGTHA",78.76,32.29,"General",12558,250,5,1,"Male","IND",3194,"LOITONGBAM AMUJOU SINGH",2.53,"ASHRAF ALI","MRP","M",NA
"Manipur",2,1972,2,11,"MAYANG IMPHA",83.28,29.15,"General",9848,337,5,1,"Male","IND",2391,"M. D. ABDUL LATIF",4.11,"KHAIDEM GULAMJAT SINGH","MRP","M",NA
"Manipur",2,1972,2,12,"WANGOI",87.3,46.93,"General",9261,464,5,1,"Male","MRP",3794,"CHUNGKHAM RAJMOHAN SINGH",5.74,"WANHENGBAM NIPAMACHA","INC","M",NA
"Manipur",2,1972,2,13,"LILONG CHAJI",76.6,41.28,"General",10686,941,5,1,"Male","MRP",3379,"IRENGBAM TOMPOK",11.5,"PUKH AMBAM HOREDRO","INC","M",NA
"Manipur",2,1972,2,14,"SINGJAMEI",78.27,24.2,"General",10686,11,6,1,"Male","MRP",2024,"LOITONGBAM SARAT SINGH",0.13,"HAOBAM BARUNI SINGH","INC","M",NA
"Manipur",2,1972,2,15,"SAGOLBAND",84.29,42.21,"General",6822,321,4,1,"Male","CPI",2427,"THOKCHOM BIRA",5.58,"SALAM GAMBHIR","MRP","M",NA
"Manipur",2,1972,2,16,"LAMJAOTONGBA",88.43,49.07,"General",9430,1423,4,1,"Male","IND",4092,"NONGTHOMBAM IBOMCHA",17.06,"THOUNAOJAM TOMBA","INC","M",NA
"Manipur",2,1972,2,17,"KEISAMTHONG",76.06,25.3,"General",10736,401,6,1,"Male","IND",2066,"LAISHRAM MANAOBI",4.91,"L. BHEIGYACHANDRA SINGH","IND","M",NA
"Manipur",2,1972,2,18,"MALOM HIYANGHANG",83.05,47.51,"General",9983,722,3,1,"Male","MRP",3939,"TOKPAM SANAJAO SINGH",8.71,"RAJ KUMAR RANBIR SINGH","INC","M",NA
"Manipur",2,1972,2,19,"URIPOK",73.92,45.16,"General",8217,811,4,1,"Male","CPI",2743,"M. MEGHACHANDRA",13.35,"KHAIDEM RAJMANI","INC","M",NA
"Manipur",2,1972,2,20,"THANGMEIBAND",66.72,44.03,"General",11060,1169,3,1,"Male","INC",3249,"SHAGOLSEMI BOMCHA",15.84,"MAIBAM GOURAMANI","MRP","M",NA
"Manipur",2,1972,2,21,"LAMSANG",78.89,27.87,"General",9587,165,7,1,"Male","MRP",2108,"LAISHRAM SAMUNGOUBA SINGH",2.18,"K. JUGESHWAR","CPI","M",NA
"Manipur",2,1972,2,22,"SEKMAI",73.68,50.13,"SC",7933,15,2,1,"Male","MRP",2930,"KHWAIRAKPAM CHAOBA",0.26,"KHANGEMBAM LEIRIJAO","INC","M",NA
"Manipur",2,1972,2,23,"KONTHOUJAM",81.29,39.2,"General",9234,415,3,1,"Male","MRP",2942,"KHANGEMBAM LAKSHMAN",5.53,"THANGJAM BABU","CPI","M",NA
"Manipur",2,1972,2,24,"PATSOI",85.74,43.46,"General",8056,643,3,1,"Male","IND",3002,"L. CHANDRAMANI",9.31,"AKOJAM KULACHANDRA","INC","M",NA
"Manipur",2,1972,2,25,"NAMBOL",83.99,53.02,"General",11243,571,2,1,"Male","MRP",5007,"THOUNAOJAM CHAOBA SINGH",6.05,"H. SHAMKISHORE SHARMA","INC","M",NA
"Manipur",2,1972,2,26,"OINAM",83.64,56.15,"General",9763,1004,2,1,"Male","MRP",4585,"YUMNAM YAIMA",12.29,"MUTU AMUTOMBI","INC","M",NA
"Manipur",2,1972,2,27,"BISHENPUR",77.69,35.22,"General",11586,834,4,1,"Male","INC",3170,"KHAIDEM RATHA",9.27,"AKOIJAM KETUKO","SOP","M",NA
"Manipur",2,1972,2,28,"THANGA",78.48,41.66,"General",8802,1022,5,1,"Male","SOP",2878,"HAOBIJAM KANGJAMBA",14.79,"SALAM JAYANTA","INC","M",NA
"Manipur",2,1972,2,29,"KUMBI",76.53,30.24,"General",12796,72,5,1,"Male","INC",2961,"MAIREMBAM KOIRENG",0.74,"RAIDALI","IND","M",NA
"Manipur",2,1972,2,30,"MOIRANG",80.05,39.9,"General",9630,121,4,1,"Male","IND",3076,"HEMAM NILAMANI",1.57,"KIYAM","INC","M",NA
"Manipur",2,1972,2,31,"LILONG",86.43,57.53,"General",8961,1167,2,1,"Male","MRP",4456,"ALIMUDDIN",15.07,"ABDUL GANI","INC","M",NA
